experiment,cell_name,numSites,simulation_paramstrueBrlen,estBrlen,simulation_params,trueBrlen
s9c4,b'130_1',k200,,0.30341152036646646,sep_1_spalin,0.3
s9c4,b'216_1',k200,,0.49309858429664416,sep_1_spalin,0.516
s9c4,b'170_2',k200,,0.32220499355955345,sep_1_spalin,0.24
s9c4,b'216_3',k200,,0.24524693015683224,sep_1_spalin,0.276
s9c4,b'212_4',k200,,0.24522079051529108,sep_1_spalin,0.252
s9c4,b'216_4',k200,,0.005000059572251495,sep_1_spalin,0.024
s9c4,b'216_5',k200,,0.03254658168623419,sep_1_spalin,0.024
s9c4,b'128_2',k200,,0.2177116424101357,sep_1_spalin,0.28800000000000003
s9c4,b'171_6',k200,,0.28342332263914266,sep_1_spalin,0.258
s9c4,b'216_10',k200,,0.2908150687338213,sep_1_spalin,0.27
s9c4,b'211_8',k200,,0.17503628980655578,sep_1_spalin,0.24
s9c4,b'216_13',k200,,0.052412098797251915,sep_1_spalin,0.03
s9c4,b'216_12',k200,,0.05241821725404882,sep_1_spalin,0.03
s9c4,b'168_3',k200,,0.29220407158606754,sep_1_spalin,0.24
s9c4,b'212_7',k200,,0.20025458604178567,sep_1_spalin,0.264
s9c4,b'216_9',k200,,0.022254294527697425,sep_1_spalin,0.024
s9c4,b'216_8',k200,,0.06718355298429537,sep_1_spalin,0.024
s9c4,b'211_5',k200,,0.3203106206734737,sep_1_spalin,0.258
s9c4,b'216_7',k200,,0.052406710662360995,sep_1_spalin,0.03
s9c4,b'216_6',k200,,0.026043213610932984,sep_1_spalin,0.03
s9c4,b'34_3',k200,,0.178405837893562,sep_1_spalin,0.198
s9c4,b'180_11',k200,,0.7962171919689945,sep_1_spalin,0.876
s9c4,b'216_15',k200,,0.2730673916487698,sep_1_spalin,0.216
s9c4,b'216_14',k200,,0.2557653909787082,sep_1_spalin,0.216
s9c4,b'79_4',k200,,0.3622435657089673,sep_1_spalin,0.27
s9c4,b'130_8',k200,,0.2985134841086007,sep_1_spalin,0.306
s9c4,b'216_25',k200,,0.571320352075854,sep_1_spalin,0.516
s9c4,b'183_18',k200,,0.338506646121338,sep_1_spalin,0.318
s9c4,b'216_23',k200,,0.4142747976090455,sep_1_spalin,0.198
s9c4,b'216_22',k200,,0.19268319275577675,sep_1_spalin,0.198
s9c4,b'127_8',k200,,0.28188276538427387,sep_1_spalin,0.28800000000000003
s9c4,b'179_18',k200,,0.3479665940991708,sep_1_spalin,0.312
s9c4,b'216_27',k200,,0.2236594648108658,sep_1_spalin,0.222
s9c4,b'216_26',k200,,0.2236641729702196,sep_1_spalin,0.222
s9c4,b'175_17',k200,,0.2524852807486929,sep_1_spalin,0.28800000000000003
s9c4,b'215_30',k200,,0.2743039897442356,sep_1_spalin,0.24
s9c4,b'216_31',k200,,0.005074631199438449,sep_1_spalin,0.006
s9c4,b'216_30',k200,,0.03326144531659813,sep_1_spalin,0.006
s9c4,b'213_27',k200,,0.19985632129351372,sep_1_spalin,0.228
s9c4,b'216_29',k200,,0.005000027430816431,sep_1_spalin,0.018000000000000002
s9c4,b'216_28',k200,,0.03943644924435215,sep_1_spalin,0.018000000000000002
s9c4,b'virtual',k10,,0.062145792659249334,sep_2_spalin,0.0
s9c4,b'80_1',k10,,0.2523274409908151,sep_2_spalin,0.47400000000000003
s9c4,b'130_1',k10,,0.4837716973018987,sep_2_spalin,0.3
s9c4,b'216_1',k10,,0.2924264874407486,sep_2_spalin,0.516
s9c4,b'170_2',k10,,0.005000000005866479,sep_2_spalin,0.24
s9c4,b'216_3',k10,,0.005000004853680107,sep_2_spalin,0.276
s9c4,b'212_4',k10,,0.4445838942634197,sep_2_spalin,0.252
s9c4,b'216_4',k10,,0.07672126155343559,sep_2_spalin,0.024
s9c4,b'216_5',k10,,0.07671934395318078,sep_2_spalin,0.024
s9c4,b'128_2',k10,,0.14141749696389927,sep_2_spalin,0.28800000000000003
s9c4,b'171_6',k10,,0.4439471854664651,sep_2_spalin,0.258
s9c4,b'216_10',k10,,1.0371912450523855,sep_2_spalin,0.27
s9c4,b'211_8',k10,,0.005000000001956069,sep_2_spalin,0.24
s9c4,b'216_13',k10,,0.1315190996398806,sep_2_spalin,0.03
s9c4,b'216_12',k10,,0.005,sep_2_spalin,0.03
s9c4,b'168_3',k10,,0.005000000014034517,sep_2_spalin,0.24
s9c4,b'212_7',k10,,0.5837639587740976,sep_2_spalin,0.264
s9c4,b'216_9',k10,,0.005000000786261431,sep_2_spalin,0.024
s9c4,b'216_8',k10,,0.16720530497256975,sep_2_spalin,0.024
s9c4,b'211_5',k10,,0.3529872691369222,sep_2_spalin,0.258
s9c4,b'216_7',k10,,0.005,sep_2_spalin,0.03
s9c4,b'216_6',k10,,0.10132810583087358,sep_2_spalin,0.03
s9c4,b'34_3',k10,,0.4031283153746208,sep_2_spalin,0.198
s9c4,b'180_11',k10,,1.316090099753162,sep_2_spalin,0.876
s9c4,b'216_15',k10,,0.17969442736439975,sep_2_spalin,0.216
s9c4,b'216_14',k10,,0.17957550206773157,sep_2_spalin,0.216
s9c4,b'79_4',k10,,0.005000000011858256,sep_2_spalin,0.27
s9c4,b'130_8',k10,,0.8252908052588512,sep_2_spalin,0.306
s9c4,b'216_25',k10,,0.7180044865497118,sep_2_spalin,0.516
s9c4,b'183_18',k10,,1.316090102446642,sep_2_spalin,0.318
s9c4,b'216_23',k10,,0.005,sep_2_spalin,0.198
s9c4,b'216_22',k10,,0.3943837719038097,sep_2_spalin,0.198
s9c4,b'127_8',k10,,0.15419502507588434,sep_2_spalin,0.28800000000000003
s9c4,b'179_18',k10,,0.401866310795442,sep_2_spalin,0.312
s9c4,b'216_27',k10,,0.005000000458616327,sep_2_spalin,0.222
s9c4,b'216_26',k10,,0.14537323105859465,sep_2_spalin,0.222
s9c4,b'175_17',k10,,0.17110186093350768,sep_2_spalin,0.28800000000000003
s9c4,b'215_30',k10,,0.2344563664523418,sep_2_spalin,0.24
s9c4,b'216_31',k10,,0.005,sep_2_spalin,0.006
s9c4,b'216_30',k10,,0.12466396656875357,sep_2_spalin,0.006
s9c4,b'213_27',k10,,0.23458760010516785,sep_2_spalin,0.228
s9c4,b'216_29',k10,,0.0772503203076528,sep_2_spalin,0.018000000000000002
s9c4,b'216_28',k10,,0.005,sep_2_spalin,0.018000000000000002
s9c4,b'virtual',k50,,0.005,sep_2_spalin,0.0
s9c4,b'80_1',k50,,0.48963704350406806,sep_2_spalin,0.47400000000000003
s9c4,b'130_1',k50,,0.3275670434036556,sep_2_spalin,0.3
s9c4,b'216_1',k50,,0.40915366437391315,sep_2_spalin,0.516
s9c4,b'170_2',k50,,0.13145659446846997,sep_2_spalin,0.24
s9c4,b'216_3',k50,,0.47908410192174655,sep_2_spalin,0.276
s9c4,b'212_4',k50,,0.2325565307719952,sep_2_spalin,0.252
s9c4,b'216_4',k50,,0.04470491779514316,sep_2_spalin,0.024
s9c4,b'216_5',k50,,0.04471815172306321,sep_2_spalin,0.024
s9c4,b'128_2',k50,,0.3427033559737709,sep_2_spalin,0.28800000000000003
s9c4,b'171_6',k50,,0.2190067771805728,sep_2_spalin,0.258
s9c4,b'216_10',k50,,0.2724480723550778,sep_2_spalin,0.27
s9c4,b'211_8',k50,,0.13367067335319494,sep_2_spalin,0.24
s9c4,b'216_13',k50,,0.07915153091166469,sep_2_spalin,0.03
s9c4,b'216_12',k50,,0.07917314951682432,sep_2_spalin,0.03
s9c4,b'168_3',k50,,0.09434669950117826,sep_2_spalin,0.24
s9c4,b'212_7',k50,,0.1255631566529498,sep_2_spalin,0.264
s9c4,b'216_9',k50,,0.08798388716495893,sep_2_spalin,0.024
s9c4,b'216_8',k50,,0.005,sep_2_spalin,0.024
s9c4,b'211_5',k50,,0.44371961402929805,sep_2_spalin,0.258
s9c4,b'216_7',k50,,0.10720211098013015,sep_2_spalin,0.03
s9c4,b'216_6',k50,,0.005000002543985251,sep_2_spalin,0.03
s9c4,b'34_3',k50,,0.09462791780379261,sep_2_spalin,0.198
s9c4,b'180_11',k50,,0.7864777119257742,sep_2_spalin,0.876
s9c4,b'216_15',k50,,0.24350574039603576,sep_2_spalin,0.216
s9c4,b'216_14',k50,,0.2435125813177413,sep_2_spalin,0.216
s9c4,b'79_4',k50,,0.15560773038336628,sep_2_spalin,0.27
s9c4,b'130_8',k50,,0.37838691951621534,sep_2_spalin,0.306
s9c4,b'216_25',k50,,0.49149202255458324,sep_2_spalin,0.516
s9c4,b'183_18',k50,,0.30460831496327495,sep_2_spalin,0.318
s9c4,b'216_23',k50,,0.24919829986501543,sep_2_spalin,0.198
s9c4,b'216_22',k50,,0.18574454395964923,sep_2_spalin,0.198
s9c4,b'127_8',k50,,0.24152433096291934,sep_2_spalin,0.28800000000000003
s9c4,b'179_18',k50,,0.37818793346518426,sep_2_spalin,0.312
s9c4,b'216_27',k50,,0.22611288070544314,sep_2_spalin,0.222
s9c4,b'216_26',k50,,0.22609931252454693,sep_2_spalin,0.222
s9c4,b'175_17',k50,,0.2806248412042219,sep_2_spalin,0.28800000000000003
s9c4,b'215_30',k50,,0.32709555087496306,sep_2_spalin,0.24
s9c4,b'216_31',k50,,0.10003378704948278,sep_2_spalin,0.006
s9c4,b'216_30',k50,,0.0050000012012057105,sep_2_spalin,0.006
s9c4,b'213_27',k50,,0.21460563533795582,sep_2_spalin,0.228
s9c4,b'216_29',k50,,0.0050000025488041505,sep_2_spalin,0.018000000000000002
s9c4,b'216_28',k50,,0.04472146452984945,sep_2_spalin,0.018000000000000002
s9c4,b'virtual',k200,,0.00500002591177968,sep_2_spalin,0.0
s9c4,b'80_1',k200,,0.4625279108514858,sep_2_spalin,0.47400000000000003
s9c4,b'130_1',k200,,0.30228866973239094,sep_2_spalin,0.3
s9c4,b'216_1',k200,,0.4925037963728409,sep_2_spalin,0.516
s9c4,b'170_2',k200,,0.3197690555080777,sep_2_spalin,0.24
s9c4,b'216_3',k200,,0.25714426205363405,sep_2_spalin,0.276
s9c4,b'212_4',k200,,0.2570581877977789,sep_2_spalin,0.252
s9c4,b'216_4',k200,,0.005000052208130866,sep_2_spalin,0.024
s9c4,b'216_5',k200,,0.05249143559920596,sep_2_spalin,0.024
s9c4,b'128_2',k200,,0.2164576524365872,sep_2_spalin,0.28800000000000003
