condition k rep method nodeAge trueBrlen estBrlen
s10c3 k10 r1 problin 211 54.0 54.5727
s10c3 k10 r1 problin 216 19.0 37.2738
s10c3 k10 r1 problin 216 139.0 107.489
s10c3 k10 r1 problin 216 31.0 146.781
s10c3 k10 r1 problin 216 31.0 146.781
s10c3 k10 r1 problin 216 29.0 37.1988
s10c3 k10 r1 problin 216 29.0 0.833333
s10c3 k10 r1 problin 216 34.0 177.368
s10c3 k10 r1 problin 216 34.0 0.833333
s10c3 k10 r1 problin 216 30.0 0.833333
s10c3 k10 r1 problin 216 19.0 0.833333
s10c3 k10 r1 problin 216 30.0 47.9598
s10c3 k10 r1 problin 216 7.0 0.833333
s10c3 k10 r1 problin 216 7.0 0.833333
s10c3 k10 r1 problin 216 76.0 85.8303
s10c3 k10 r1 problin 216 20.0 115.732
s10c3 k10 r1 problin 216 20.0 0.833333
s10c3 k10 r1 problin 216 8.0 0.833333
s10c3 k10 r1 problin 216 8.0 0.833333
s10c3 k10 r1 problin 216 5.0 0.833333
s10c3 k10 r1 problin 216 5.0 0.833333
s10c3 k10 r1 spalin_all virtual 0 0
s10c3 k10 r1 spalin_all 34 33.0 0.833333
s10c3 k10 r1 spalin_all 77 43.0 26.6072
s10c3 k10 r1 spalin_all 85 51.0 26.5323
s10c3 k10 r1 spalin_all 91 90.0 100.347
s10c3 k10 r1 spalin_all 136 59.0 73.6997
s10c3 k10 r1 spalin_all 140 49.0 66.4493
s10c3 k10 r1 spalin_all 140 49.0 5.9793
s10c3 k10 r1 spalin_all 152 67.0 35.9783
s10c3 k10 r1 spalin_all 157 72.0 93.4485
s10c3 k10 r1 spalin_all 182 42.0 51.0092
s10c3 k10 r1 spalin_all 185 49.0 36.0732
s10c3 k10 r1 spalin_all 186 46.0 34.4652
s10c3 k10 r1 spalin_all 187 51.0 8.19665
s10c3 k10 r1 spalin_all 196 44.0 67.2185
s10c3 k10 r1 spalin_all 197 45.0 45.4975
s10c3 k10 r1 spalin_all 208 51.0 61.7245
s10c3 k10 r1 spalin_all 209 69.0 54.5848
s10c3 k10 r1 spalin_all 211 54.0 5.60702
s10c3 k10 r1 spalin_all 216 19.0 39.72
s10c3 k10 r1 spalin_all 216 139.0 84.9675
s10c3 k10 r1 spalin_all 216 31.0 85.6312
s10c3 k10 r1 spalin_all 216 31.0 86.4812
s10c3 k10 r1 spalin_all 216 29.0 33.9117
s10c3 k10 r1 spalin_all 216 29.0 32.3705
s10c3 k10 r1 spalin_all 216 34.0 120.457
s10c3 k10 r1 spalin_all 216 34.0 17.2868
s10c3 k10 r1 spalin_all 216 30.0 31.7683
s10c3 k10 r1 spalin_all 216 19.0 17.2165
s10c3 k10 r1 spalin_all 216 30.0 9.08615
s10c3 k10 r1 spalin_all 216 7.0 20.7937
s10c3 k10 r1 spalin_all 216 7.0 32.0635
s10c3 k10 r1 spalin_all 216 76.0 67.8887
s10c3 k10 r1 spalin_all 216 20.0 95.4433
s10c3 k10 r1 spalin_all 216 20.0 14.9512
s10c3 k10 r1 spalin_all 216 8.0 32.1973
s10c3 k10 r1 spalin_all 216 8.0 35.6547
s10c3 k10 r1 spalin_all 216 5.0 20.8713
s10c3 k10 r1 spalin_all 216 5.0 23.5083
s10c3 k10 r1 spalin_leaves virtual 0 0
s10c3 k10 r1 spalin_leaves 34 33.0 0.833333
s10c3 k10 r1 spalin_leaves 77 43.0 0.833333
s10c3 k10 r1 spalin_leaves 85 51.0 0.833333
s10c3 k10 r1 spalin_leaves 91 90.0 119.757
s10c3 k10 r1 spalin_leaves 136 59.0 140.876
s10c3 k10 r1 spalin_leaves 140 49.0 43.9243
s10c3 k10 r1 spalin_leaves 140 49.0 0.833333
s10c3 k10 r1 spalin_leaves 152 67.0 43.6095
s10c3 k10 r1 spalin_leaves 157 72.0 105.548
s10c3 k10 r1 spalin_leaves 182 42.0 91.9352
s10c3 k10 r1 spalin_leaves 185 49.0 0.833333
s10c3 k10 r1 spalin_leaves 186 46.0 0.833333
s10c3 k10 r1 spalin_leaves 187 51.0 0.833333
s10c3 k10 r1 spalin_leaves 196 44.0 39.4108
s10c3 k10 r1 spalin_leaves 197 45.0 60.796
s10c3 k10 r1 spalin_leaves 208 51.0 0.833333
s10c3 k10 r1 spalin_leaves 209 69.0 55.5522
s10c3 k10 r1 spalin_leaves 211 54.0 24.412
s10c3 k10 r1 spalin_leaves 216 19.0 66.8893
s10c3 k10 r1 spalin_leaves 216 139.0 115.756
s10c3 k10 r1 spalin_leaves 216 31.0 149.035
s10c3 k10 r1 spalin_leaves 216 31.0 130.472
s10c3 k10 r1 spalin_leaves 216 29.0 78.7568
s10c3 k10 r1 spalin_leaves 216 29.0 0.833333
s10c3 k10 r1 spalin_leaves 216 34.0 118.376
s10c3 k10 r1 spalin_leaves 216 34.0 0.833333
s10c3 k10 r1 spalin_leaves 216 30.0 0.833333
s10c3 k10 r1 spalin_leaves 216 19.0 0.833333
s10c3 k10 r1 spalin_leaves 216 30.0 48.9777
s10c3 k10 r1 spalin_leaves 216 7.0 31.0232
s10c3 k10 r1 spalin_leaves 216 7.0 0.833333
s10c3 k10 r1 spalin_leaves 216 76.0 73.2297
s10c3 k10 r1 spalin_leaves 216 20.0 112.385
s10c3 k10 r1 spalin_leaves 216 20.0 0.833333
s10c3 k10 r1 spalin_leaves 216 8.0 0.833333
s10c3 k10 r1 spalin_leaves 216 8.0 85.3753
s10c3 k10 r1 spalin_leaves 216 5.0 53.7653
s10c3 k10 r1 spalin_leaves 216 5.0 0.833333
s10c4 k10 r1 problin 57 56.0 0
s10c4 k10 r1 problin 124 67.0 130.242
s10c4 k10 r1 problin 126 69.0 62.5262
s10c4 k10 r1 problin 171 45.0 0.833333
s10c4 k10 r1 problin 173 49.0 0.833333
s10c4 k10 r1 problin 176 50.0 103.143
s10c4 k10 r1 problin 176 52.0 47.9125
s10c4 k10 r1 problin 211 38.0 0.833333
s10c4 k10 r1 problin 211 38.0 0.833333
s10c4 k10 r1 problin 216 40.0 80.2013
s10c4 k10 r1 problin 216 40.0 0.833333
s10c4 k10 r1 problin 216 40.0 80.2013
s10c4 k10 r1 problin 216 45.0 0.833333
s10c4 k10 r1 problin 216 45.0 67.612
s10c4 k10 r1 problin 216 5.0 0.833333
s10c4 k10 r1 problin 216 5.0 0.833333
s10c4 k10 r1 problin 216 5.0 0.833333
s10c4 k10 r1 problin 216 5.0 0.833333
s10c4 k10 r1 problin 216 40.0 67.7162
s10c4 k10 r1 spalin_all 57 56.0 0
s10c4 k10 r1 spalin_all 124 67.0 122.698
s10c4 k10 r1 spalin_all 126 69.0 46.1663
s10c4 k10 r1 spalin_all 171 45.0 41.2602
s10c4 k10 r1 spalin_all 173 49.0 37.4832
s10c4 k10 r1 spalin_all 176 50.0 78.1272
s10c4 k10 r1 spalin_all 176 52.0 59.2243
s10c4 k10 r1 spalin_all 211 38.0 13.7726
s10c4 k10 r1 spalin_all 211 38.0 54.313
s10c4 k10 r1 spalin_all 216 40.0 44.6047
s10c4 k10 r1 spalin_all 216 40.0 7.73778
s10c4 k10 r1 spalin_all 216 40.0 86.6425
s10c4 k10 r1 spalin_all 216 45.0 52.8798
s10c4 k10 r1 spalin_all 216 45.0 35.92
s10c4 k10 r1 spalin_all 216 5.0 27.4963
s10c4 k10 r1 spalin_all 216 5.0 23.0618
s10c4 k10 r1 spalin_all 216 5.0 44.1995
s10c4 k10 r1 spalin_all 216 5.0 17.8427
s10c4 k10 r1 spalin_all 216 40.0 104.28
s10c4 k10 r1 spalin_leaves 57 56.0 0
s10c4 k10 r1 spalin_leaves 124 67.0 120.706
s10c4 k10 r1 spalin_leaves 126 69.0 40.3313
s10c4 k10 r1 spalin_leaves 171 45.0 0.833333
s10c4 k10 r1 spalin_leaves 173 49.0 0.833333
s10c4 k10 r1 spalin_leaves 176 50.0 160.121
