model treeID cellID true_x true_y estimated_x estimated_y
Gaussian s12c4 182_10 207.0 395.0 202.37448452150142 398.9052978655808
Gaussian s12c4 136_6 207.0 380.0 198.2008613506298 382.7766207337584
Gaussian s12c4 188_16 221.0 372.0 209.86078877134412 370.74049530715695
Gaussian s12c4 186_13 193.0 369.0 191.12327569629804 377.56383555394143
Gaussian s12c4 91_3 167.0 405.0 171.5701579627073 404.59517242724195
Gaussian s12c4 151_3 151.0 427.0 163.37806401397916 422.20518281802214
Gaussian s12c4 203_8 173.0 427.0 171.48645155710943 435.80057586867065
Gaussian s12c4 139_4 165.0 380.0 166.42500316231371 393.9341431402863
Gaussian s12c4 190_7 162.0 393.0 161.30507876734424 394.38506032536907
Gaussian s12c4 187_8 165.0 368.0 166.09860073365718 382.8487212085472
Gaussian s13c1 27_1 168.0 242.0 148.70481768988276 238.5340004728479
Gaussian s13c1 76_1 144.0 242.0 118.55436523274165 234.28199281852312
Gaussian s13c1 130_3 132.0 242.0 106.45428673527363 226.39240328906538
Gaussian s13c1 187_5 112.0 241.0 100.11310710016045 227.2753824851951
Gaussian s13c1 185_6 111.0 204.0 100.24881481413792 217.50471277986486
Gaussian s13c1 126_1 115.0 242.0 98.9923738058744 237.24838498802006
Gaussian s13c1 177_3 101.0 222.0 82.3595927548171 234.17508520945304
Gaussian s13c1 174_1 100.0 255.0 95.86724420178743 242.988638909396
Gaussian s13c1 75_2 170.0 249.0 156.71147276563954 237.50950723850085
Gaussian s13c1 140_5 173.0 271.0 171.34858604488454 267.3000193210656
Gaussian s13c1 194_11 168.0 255.0 171.4743760999038 259.9892340389503
Gaussian s13c1 191_9 185.0 294.0 182.71428859151249 297.5787439608394
Gaussian s13c1 131_6 158.0 230.0 153.44213429805234 210.64859318369648
Gaussian s13c1 185_11 176.0 187.0 175.63097959165162 174.7921322927661
Gaussian s13c1 180_9 139.0 228.0 130.44714055768523 219.68171160158926
Gaussian s13c1 23_2 180.0 203.0 160.3660787868181 241.3451016349
Gaussian s13c1 74_5 179.0 199.0 165.48346767109038 224.62096952321917
Gaussian s13c1 122_9 164.0 205.0 155.20161979625837 213.55924455665087
Gaussian s13c1 170_17 164.0 221.0 153.4022789516386 215.29510232538138
Gaussian s13c1 211_33 138.0 218.0 142.65530338802557 214.54569553594212
Gaussian s13c1 205_34 161.0 218.0 161.2645070181248 217.2005694515966
Gaussian s13c1 163_17 154.0 203.0 147.95614504127866 202.62797597023712
Gaussian s13c1 211_38 156.0 190.0 155.60178935847978 192.05088989951759
Gaussian s13c1 202_35 133.0 202.0 134.85202207149982 200.82382243025435
Gaussian s13c1 121_10 178.0 213.0 180.26713543207376 220.03980641084195
Gaussian s13c1 201_37 178.0 211.0 182.30861160846342 210.86055483521503
Gaussian s13c1 163_19 203.0 222.0 192.40629758757882 220.76510815357648
Gaussian s13c1 198_37 197.0 239.0 200.43537905200498 236.0655903041408
Gaussian s13c1 197_37 198.0 207.0 194.43355924326522 206.48893166572464
Gaussian s13c1 67_3 186.0 222.0 155.95107661214638 255.77376463320655
Gaussian s13c1 117_5 169.0 256.0 151.83395596667344 269.86192455725006
Gaussian s13c1 156_9 161.0 287.0 163.5905411029231 288.9039156690777
Gaussian s13c1 191_16 167.0 278.0 174.57645818497957 288.23787254449314
Gaussian s13c1 191_15 163.0 302.0 163.15540555340135 306.6589251760741
Gaussian s13c1 155_10 146.0 256.0 137.2498100407928 262.01519117005034
Gaussian s13c1 191_19 144.0 255.0 138.1777860929877 254.21010081702366
Gaussian s13c1 188_17 125.0 272.0 123.73398596959822 262.35558885916424
Gaussian s13c1 116_6 175.0 237.0 155.06914787745603 258.0356517012072
Gaussian s13c1 163_15 176.0 234.0 159.8309965008097 243.060075395169
Gaussian s13c1 199_31 178.0 239.0 175.33850494959353 233.708104288966
Gaussian s13c1 197_29 152.0 240.0 148.62975785650048 241.05909692538458
Gaussian s13c1 158_13 151.0 279.0 150.0579399794372 273.3568419357121
Gaussian s13c1 196_27 162.0 271.0 157.13707082905017 273.4701754032743
