[&R] (((((216_9:1.029,216_10:3.029)202_8:7.473,216_8:10.502)164_4:9.877,((216_11:0.001,216_12:0.001)209_11:11.761,216_13:10.762)164_5:5.617)124_4:17.07,(((216_17:2.039,216_18:3.039)205_15:3.325,216_15:13.364)165_8:11.65,((216_21:4.065,216_22:2.065)201_15:3.12,(216_19:2.008,216_20:0.008)203_16:8.178)165_9:14.829)125_6:16.435)83_3:94.551)I0;
165_8,1,2,2,2,2,2,0,0,1,0,0,0,2,1,2,1,0:0.03/2:0.97,0,2,1,2,1,0,0,1,0,0,2,2,1,2,1,2,1,0,0,0,1,1,0,1,2,1,0,0,1,1,0,1,0,0:0.03/1:0.97,0:0.03/1:0.97,2,1,0,0,1,0,2,0:0.03/1:0.97,2,2,0,0,0,2,0:0.03/1:0.97,2,1,2,0,0:0.03/1:0.97,1,2,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,2,0,1,2,0:0.03/1:0.97,0,1,2,0,2,1,1,0,1,2,1,1,2,1,0,2,1,1,0,1,2,0,0,0,2,0,1,2,1,1,0,1,2,0,2,2,0,0,0,1,0,0,2,0,1,0,2,0,0:0.03/1:0.97,2,1,0,0,2,0,2,1,2,0,0,0:0.03/2:0.97,0,1,0,1,2,1,1,0,2,0,1,2,0,2,0,1,1,2,0,0,1,0,0,0,2,0,0,2,0,1,0:0.03/2:0.97,2,0,0:0.03/1:0.97,1,1,0,2,1,0,0,1,0
216_15,1,2,2,2,2,2,0,1,1,1,0,0,2,1,2,1,2,0,2,1,2,1,0,2,1,0,0,2,2,1,2,1,2,1,1,0,0,1,1,0,1,2,1,0,0,1,1,0,1,0,1,1,2,1,2,0,1,0,2,1,2,2,0,0,0,2,1,2,1,2,0,1,1,2,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,2,0,1,2,1,0,1,2,0,2,1,1,0,1,2,1,1,2,1,0,2,1,1,0,1,2,2,0,1,2,0,1,2,1,1,1,1,2,0,2,2,0,0,0,1,1,0,2,2,1,0,2,0,1,2,1,0,0,2,2,2,1,2,2,0,2,0,1,0,1,2,1,1,0,2,0,1,2,0,2,0,1,1,2,0,0,1,0,0,0,2,0,0,2,1,1,2,2,0,1,1,1,0,2,1,0,0,1,0
205_15,1,2,2,2,2,2,0,0,1,0,0,0,2,1,2,1,2,0,2,1,2,1,0,0,1,0,0,2,2,1,2,1,2,1,0,0,0,1,1,0,1,2,1,0,0,1,1,0,1,0,1,1,2,1,0,0,1,0,2,1,2,2,0,0,0,2,1,2,1,2,0:0.01/1:0.99,1,1,2,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,2,0,1,2,1,0,1,2,0,2,1,1,0,1,2,1,1,2,1,0,2,1,1,0,1,2,0,0,0,2,0,1,2,1,1,0,1,2,0,2,2,0,0,0,1,0,0,2,0,1,0,2,0,1,2,1,0,0,2,0,2,1,2,0,0,2,0:0.01/1:0.99,1,0,1,2,1,1,0,2,0,1,2,0,2,0,1,1,2,0,0:0.01/1:0.99,1,0,0,0,2,0,0,2,0,1,2,2,0,1,1,1,0,2,1,0,0,1,0
216_18,1,2,2,2,2,2,0,0,1,0,0,0,2,1,2,1,2,0,2,1,2,1,0,0,1,0,0,2,2,1,2,1,2,1,0,0,0,1,1,0,1,2,1,0,0,1,1,0,1,0,1,1,2,1,0,0,1,0,2,1,2,2,0,0,0,2,1,2,1,2,1,1,1,2,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,2,0,1,2,1,0,1,2,0,2,1,1,0,1,2,1,1,2,1,0,2,1,1,0,1,2,0,0,0,2,0,1,2,1,1,0,1,2,0,2,2,1,0,0,1,0,0,2,0,1,0,2,0,1,2,1,0,0,2,0,2,1,2,0,0,2,1,1,0,1,2,1,1,2,2,0,1,2,0,2,0,1,1,2,0,1,1,0,0,0,2,0,0,2,0,1,2,2,0,1,1,1,0,2,1,0,0,1,0
216_17,1,2,2,2,2,2,0,0,1,0,0,0,2,1,2,1,2,0,2,1,2,1,0,0,1,0,0,2,2,1,2,1,2,1,0,0,0,1,1,0,1,2,1,0,0,1,1,0,1,0,1,1,2,1,0,0,1,0,2,1,2,2,0,0,1,2,1,2,1,2,1,1,1,2,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,2,0,1,2,1,0,1,2,0,2,1,1,0,1,2,1,1,2,1,0,2,1,1,0,1,2,0,0,0,2,0,1,2,1,1,0,1,2,0,2,2,0,0,0,1,0,0,2,0,1,0,2,0,1,2,1,0,0,2,0,2,1,2,0,0,2,1,1,0,1,2,1,1,0,2,0,1,2,0,2,0,1,1,2,0,1,1,0,0,0,2,0,0,2,1,1,2,2,0,1,1,1,0,2,1,0,0,1,0
124_4,1,2,2,2,2,2,0,0,0,0,0,0,2,1,2,1,0,0:0.02/1:0.98,2,1,2,1,0:0.02/2:0.98,0,1,0,0,2,2,1,2,1,2,1,0:0.02/2:0.98,0,0,1,1,0,1,2,1,0:0.02/2:0.98,0,1,1,0,0,0,0,0,0,1,0:0.02/2:0.98,0,1,0,2,0,0,2,0,0,0:0.02/2:0.98,2,0,2,1,2,0,0,1,2,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,2,0,1,2,0,0,1,2,0,2,1,0,0,1,2,1,1,0,0,0,2,1,1,0,1,2,0,0,0,2,0,1,0,1,1,0:0.02/1:0.98,1,2,0,0,2,0,0,0,1,0:0.02/2:0.98,0,2,0,1,0:0.02/1:0.98,2,0,0:0.02/2:0.98,0:0.02/1:0.98,1,0,0:0.02/2:0.98,2,0,2,1,2,0,0,0,0,1,0,1,0,1,1,0,2,0,1,2,0,2,0,1,1,2,0,0,0,0,0,0,2,0:0.02/2:0.98,0,0,0:0.02/1:0.98,1,0,2,0,0:0.02/1:0.98,0:0.02/2:0.98,1,0,2,0,0,0,1,0
164_5,1,2,2,2,2,2,0,0,0,0,0,0,2,1,2,1,0,1,2,1,2,1,2,0,1,0,0,2,2,1,2,1,2,1,2,0,0,1,1,0,1,2,1,2,0,1,1,0,0,0,0,0,0,1,2,0,1,0,2,0,0,2,0,0,2,2,0,2,1,2,0,0,1,2,1,1,0,1,0,0:0.12/1:0.88,1,0,0,1,1,1,0,1,0,0,0,2,0:0.12/2:0.88,1,2,0,0,1,2,0,2,1,0,0,1,2,1,1,0:0.12/1:0.88,0:0.12/1:0.88,0,2,1,1,0,1,2,0,0:0.12/1:0.88,0,2,0,1,0,1,1,1,1,2,0,0:0.12/1:0.88,2,0,0,0,1,2,0,2,0,1,1,2,0,2,1,1,0,2,2,0,2,1,2,0,0,0,0,1,0,1,0,1,1,0,2,0,1,2,0,2,0,1,1,2,0,0,0,0,0,0,2,2,0,0,1,1,0,2,0,1,2,1,0,2,0,0,0,1,0
216_13,1,2,2,2,2,2,2,0,2,0,0,0,2,1,2,1,0,1,2,1,2,1,2,0,1,0,0,2,2,1,2,1,2,1,2,0,0,1,1,0,1,2,1,2,0,1,1,0,0,0,0,1,0,1,2,0,1,0,2,2,0,2,0,0,2,2,2,2,1,2,0,2,1,2,1,1,2,1,0,1,1,0,0,1,1,1,0,1,0,0,0,2,2,1,2,0,0,1,2,0,2,1,0,0,1,2,1,1,1,1,0,2,1,1,0,1,2,0,1,0,2,0,1,0,1,1,1,1,2,0,1,2,0,0,0,1,2,0,2,1,1,1,2,0,2,1,1,0,2,2,2,2,1,2,0,0,0,0,1,0,1,0,1,1,0,2,0,1,2,0,2,0,1,1,2,0,2,0,0,0,0,2,2,0,0,1,1,0,2,0,1,2,1,0,2,0,0,0,1,0
209_11,1,2,2,2,2,2,0,0,0,0,0,0,2,1,2,1,0,1,2,1,2,1,2,0,1,0,0,2,2,1,2,1,2,1,2,1,0,1,1,2,1,2,1,2,0,1,1,0,0,0,0,0,0,1,2,0,1,0,2,0,0,2,2,1,2,2,0,2,1,2,0,0,1,2,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,2,2,1,2,0,0,1,2,0,2,1,0,0,1,2,1,1,1,1,0,2,1,1,0,1,2,0,1,0,2,0,1,0,1,1,1,1,2,2,1,2,1,0,0,1,2,0,2,0,1,1,2,0,2,1,1,1,2,2,1,2,1,2,0,0,0,0,1,0,1,0,1,1,0,2,0,1,2,0,2,0,1,1,2,0,0,0,0,1,0,2,2,0,0,1,1,0,2,0,1,2,1,1,2,0,0,2,1,0
216_12,1,2,2,2,2,2,0,0,0,0,0,0,2,1,2,1,0,1,2,1,2,1,2,0,1,0,0,2,2,1,2,1,2,1,2,1,0,1,1,2,1,2,1,2,0,1,1,0,0,0,0,0,0,1,2,0,1,0,2,0,0,2,2,1,2,2,0,2,1,2,0,0,1,2,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,2,2,1,2,0,0,1,2,0,2,1,0,0,1,2,1,1,1,1,0,2,1,1,0,1,2,0,1,0,2,0,1,0,1,1,1,1,2,2,1,2,1,0,0,1,2,0,2,0,1,1,2,0,2,1,1,1,2,2,1,2,1,2,0,0,0,0,1,0,1,0,1,1,0,2,0,1,2,0,2,0,1,1,2,0,0,0,0,1,0,2,2,0,0,1,1,0,2,0,1,2,1,1,2,0,0,2,1,0
216_11,1,2,2,2,2,2,0,0,0,0,0,0,2,1,2,1,0,1,2,1,2,1,2,0,1,0,0,2,2,1,2,1,2,1,2,1,0,1,1,2,1,2,1,2,0,1,1,0,0,0,0,0,0,1,2,0,1,0,2,0,0,2,2,1,2,2,0,2,1,2,0,0,1,2,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,2,2,1,2,0,0,1,2,0,2,1,0,0,1,2,1,1,1,1,0,2,1,1,0,1,2,0,1,0,2,0,1,0,1,1,1,1,2,2,1,2,1,0,0,1,2,0,2,0,1,1,2,0,2,1,1,1,2,2,1,2,1,2,0,0,0,0,1,0,1,0,1,1,0,2,0,1,2,0,2,0,1,1,2,0,0,0,0,1,0,2,2,0,0,1,1,0,2,0,1,2,1,1,2,0,0,2,1,0
164_4,1,2,2,2,2,2,0,0:0.05/2:0.95,0,0,0,0:0.05/2:0.95,2,1,2,1,0,1,2,1,2,1,2,0,1,0,0,2,2,1,2,1,2,1,2,0,0:0.05/1:0.95,1,1,0,1,2,1,2,0,1,1,0,0,0,0,0,0,1,2,0,1,0,2,0,0:0.05/1:0.95,2,0,0,2,2,0,2,1,2,0,0,1,2,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,2,0,1,2,0,0,1,2,0,2,1,0:0.05/2:0.95,0,1,2,1,1,0,0:0.05/2:0.95,0,2,1,1,0,1,2,0,0,0,2,0,1,0,1,1,1,1,2,0,0,2,0,0,0,1,2,0:0.05/2:0.95,2,0,1,1,2,0,2,1,1,0,2,2,0,2,1,2,0,0,0,0,1,0,1,0,1,1,0,2,0,1,2,0,2,0:0.05/2:0.95,1,1,2,0,0,0,0,0,0,2,2,0,0,1,1,0:0.05/1:0.95,2,0,1,2,1,0,2,0,0,0:0.05/1:0.95,1,0
216_8,1,2,2,2,2,2,0,2,0,2,0,2,2,1,2,1,1,1,2,1,2,1,2,0,1,0,0,2,2,1,2,1,2,1,2,0,1,1,1,0,1,2,1,2,2,1,1,1,0,0,0,0,0,1,2,0,1,2,2,0,1,2,0,0,2,2,0,2,1,2,1,1,1,2,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,2,0,1,2,0,2,1,2,0,2,1,2,0,1,2,1,1,0,2,0,2,1,1,0,1,2,0,0,0,2,0,1,0,1,1,1,1,2,1,0,2,0,0,0,1,2,2,2,0,1,1,2,0,2,1,1,0,2,2,0,2,1,2,0,0,0,0,1,0,1,0,1,1,0,2,0,1,2,0,2,2,1,1,2,0,0,0,0,0,0,2,2,0,0,1,1,1,2,2,1,2,1,0,2,0,0,1,1,0
202_8,1,2,2,2,2,2,0,2,0,0,0,2,2,1,2,1,0,1,2,1,2,1,2,0,1,0,0,2,2,1,2,1,2,1,2,0,1,1,1,0,1,2,1,2,0,1,1,0,2,0,0,0,0,1,2,0,1,0,2,0,1,2,0,0,2,2,0,2,1,2,0,0,1,2,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,2,0,2,1,1,2,0,0,1,2,0,2,1,2,0,1,2,1,1,0,2,0,2,1,1,0,1,2,0,0,0,2,0,1,0,1,1,1,1,2,0,0,2,0,0,0,1,2,2,2,0,1,1,2,0,2,1,1,0,2,2,0,2,1,2,0,0,0,0,1,0,1,0,1,1,2,2,0,1,2,0,2,2,1,1,2,0,0,0,0,2,0,2,2,0,0,1,1,1,2,0,1,2,1,0,2,0,0,1,1,0
216_10,1,2,2,2,2,2,0,2,0,0,2,2,2,1,2,1,0,1,2,1,2,1,2,0,1,0,0,2,2,1,2,1,2,1,2,0,1,1,1,0,1,2,1,2,2,1,1,0,2,0,0,0,0,1,2,0,1,0,2,0,1,2,0,0,2,2,0,2,1,2,0,0,1,2,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,2,0,2,1,1,2,0,0,1,2,0,2,1,2,0,1,2,1,1,0,2,0,2,1,1,0,1,2,0,0,0,2,0,1,0,1,1,1,1,2,0,2,2,0,0,0,1,2,2,2,0,1,1,2,0,2,1,1,0,2,2,0,2,1,2,0,0,0,0,1,0,1,0,1,1,2,2,0,1,2,0,2,2,1,1,2,0,0,0,0,2,0,2,2,0,0,1,1,1,2,0,1,2,1,0,2,0,0,1,1,0
216_9,1,2,2,2,2,2,0,2,0,0,0,2,2,1,2,1,0,1,2,1,2,1,2,0,1,0,0,2,2,1,2,1,2,1,2,0,1,1,1,0,1,2,1,2,0,1,1,0,2,0,0,0,0,1,2,0,1,0,2,0,1,2,0,0,2,2,0,2,1,2,0,0,1,2,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,2,0,2,1,1,2,0,0,1,2,0,2,1,2,0,1,2,1,1,0,2,0,2,1,1,0,1,2,0,0,0,2,0,1,0,1,1,1,1,2,0,0,2,0,0,0,1,2,2,2,0,1,1,2,0,2,1,1,0,2,2,0,2,1,2,0,0,0,0,1,0,1,0,1,1,2,2,0,1,2,0,2,2,1,1,2,0,0,0,0,2,0,2,2,0,0,1,1,1,2,0,1,2,1,0,2,0,0,1,1,0
