rep method nodeName nodeAge trueTime estBrlen
s10c1 without_location 193_9 192 59.0 1.0724363950704348
s10c1 without_location 198_13 197 61.0 0.0050000000000402925
s10c1 without_location 216_1 215 36.0 0.00500000000004507
s10c1 without_location 216_10 215 23.0 0.005000000000040413
s10c1 without_location 216_11 215 18.0 0.005000000000040425
s10c1 without_location 216_12 215 18.0 0.005000000000040425
s10c1 without_location 216_2 215 36.0 0.00500000000004507
s10c1 without_location 216_3 215 31.0 0.005000000000042419
s10c1 without_location 216_4 215 31.0 0.005000000000042419
s10c1 without_location 216_5 215 24.0 0.9698273272035659
s10c1 without_location 216_6 215 24.0 0.9698273272035659
s10c1 without_location 216_7 215 23.0 0.005000000000055406
s10c1 without_location 216_8 215 23.0 0.005000000000055406
s10c1 without_location 216_9 215 23.0 0.005000000000040413
s10c1 without_location 23_1 22 22.0 0.21952584774570172
s10c1 without_location 68_2 67 45.0 0.005000000000027226
s10c2 with_all_location 108_1 107 46.0 0.17232060225004353
s10c2 with_all_location 119_3 118 57.0 0.4956456138666115
s10c2 with_all_location 119_5 118 57.0 0.32568103736201665
s10c2 with_all_location 125_5 124 63.0 0.8353531531097372
s10c2 with_all_location 157_2 156 49.0 0.753710678078321
s10c2 with_all_location 162_1 161 54.0 0.3741353255602405
s10c2 with_all_location 174_5 173 55.0 0.9134114321371387
s10c2 with_all_location 174_6 173 55.0 1.0995380953115153
s10c2 with_all_location 175_11 174 56.0 0.7403230620488164
s10c2 with_all_location 175_12 174 56.0 0.8477537747116515
s10c2 with_all_location 188_9 187 63.0 0.7133232366320267
s10c2 with_all_location 201_4 200 44.0 0.5114510786611504
s10c2 with_all_location 205_2 204 43.0 0.8620269342449679
s10c2 with_all_location 20_1 19 19.0 0.33913081749556384
s10c2 with_all_location 210_1 209 48.0 1.024667886254039
s10c2 with_all_location 210_4 209 53.0 0.6207986498904452
s10c2 with_all_location 216_1 215 6.0 0.14163432158640718
s10c2 with_all_location 216_10 215 42.0 0.30370108964697995
s10c2 with_all_location 216_11 215 42.0 0.1175744264726035
s10c2 with_all_location 216_12 215 42.0 0.1175744264726035
s10c2 with_all_location 216_13 215 28.0 0.23803433317127207
s10c2 with_all_location 216_14 215 28.0 0.23803433317127207
s10c2 with_all_location 216_15 215 91.0 0.9513575698032988
s10c2 with_all_location 216_17 215 41.0 0.7207066235022028
s10c2 with_all_location 216_18 215 41.0 0.7207066235022028
s10c2 with_all_location 216_19 215 41.0 0.6132759108393678
s10c2 with_all_location 216_2 215 6.0 0.14163432158640718
s10c2 with_all_location 216_20 215 41.0 0.6132759108393678
s10c2 with_all_location 216_3 215 11.0 0.3042752735954781
s10c2 with_all_location 216_4 215 11.0 0.3042752735954781
s10c2 with_all_location 216_5 215 6.0 0.16592820543192044
s10c2 with_all_location 216_6 215 6.0 0.16592820543192044
s10c2 with_all_location 216_7 215 15.0 0.2752757766612152
s10c2 with_all_location 216_8 215 15.0 0.2752757766612152
s10c2 with_all_location 216_9 215 42.0 0.30370108964697995
s10c2 with_all_location 62_1 61 42.0 0.2409989019213814
s10c2 with_all_location 62_2 61 42.0 0.16704631465907563
s10c2 with_leaf_location 108_1 107 46.0 0.00500000001351379
s10c2 with_leaf_location 119_3 118 57.0 0.5567573465189118
s10c2 with_leaf_location 119_5 118 57.0 0.0050000002650184205
s10c2 with_leaf_location 125_5 124 63.0 0.932572305667837
s10c2 with_leaf_location 157_2 156 49.0 1.0743442860308594
s10c2 with_leaf_location 162_1 161 54.0 0.005000000015955885
s10c2 with_leaf_location 174_5 173 55.0 0.863162692276868
s10c2 with_leaf_location 174_6 173 55.0 1.012392393192098
s10c2 with_leaf_location 175_11 174 56.0 0.9305036743379076
s10c2 with_leaf_location 175_12 174 56.0 0.9981869293454527
s10c2 with_leaf_location 188_9 187 63.0 0.6037109124250131
s10c2 with_leaf_location 201_4 200 44.0 0.005000000015760351
s10c2 with_leaf_location 205_2 204 43.0 1.4095147630734088
s10c2 with_leaf_location 20_1 19 19.0 0.35651410049847493
s10c2 with_leaf_location 210_1 209 48.0 1.515823282423017
s10c2 with_leaf_location 210_4 209 53.0 0.4279582852790047
s10c2 with_leaf_location 216_1 215 6.0 0.13270400997143597
s10c2 with_leaf_location 216_10 215 42.0 0.23860719436456204
s10c2 with_leaf_location 216_11 215 42.0 0.08937749344933206
s10c2 with_leaf_location 216_12 215 42.0 0.08937749344933206
s10c2 with_leaf_location 216_13 215 28.0 0.12224401437183721
s10c2 with_leaf_location 216_14 215 28.0 0.12224401437183721
s10c2 with_leaf_location 216_15 215 91.0 0.7259549267968504
s10c2 with_leaf_location 216_17 215 41.0 0.7230235579105799
s10c2 with_leaf_location 216_18 215 41.0 0.7230235579105799
s10c2 with_leaf_location 216_19 215 41.0 0.6553403029030348
s10c2 with_leaf_location 216_2 215 6.0 0.13270400997143597
s10c2 with_leaf_location 216_20 215 41.0 0.6553403029030348
s10c2 with_leaf_location 216_3 215 11.0 0.23901252932104441
s10c2 with_leaf_location 216_4 215 11.0 0.23901252932104441
s10c2 with_leaf_location 216_5 215 6.0 0.15122466191798947
s10c2 with_leaf_location 216_6 215 6.0 0.15122466191798947
s10c2 with_leaf_location 216_7 215 15.0 0.5741829473053146
s10c2 with_leaf_location 216_8 215 15.0 0.5741829473053146
s10c2 with_leaf_location 216_9 215 42.0 0.23860719436456204
s10c2 with_leaf_location 62_1 61 42.0 0.005000000105272751
s10c2 with_leaf_location 62_2 61 42.0 0.005000000824030164
s10c2 without_location 108_1 107 46.0 0.005
s10c2 without_location 119_3 118 57.0 0.8212869100969944
s10c2 without_location 119_5 118 57.0 0.005
s10c2 without_location 125_5 124 63.0 0.8885147696838083
s10c2 without_location 157_2 156 49.0 0.9345468522123305
s10c2 without_location 162_1 161 54.0 0.2926358693271833
s10c2 without_location 174_5 173 55.0 0.7522699031822893
s10c2 without_location 174_6 173 55.0 0.7522699031822887
s10c2 without_location 175_11 174 56.0 0.6150002262697414
s10c2 without_location 175_12 174 56.0 0.7999601440075568
s10c2 without_location 188_9 187 63.0 0.48576684183247326
s10c2 without_location 201_4 200 44.0 0.4064490347003556
s10c2 without_location 205_2 204 43.0 0.8286754517905169
s10c2 without_location 20_1 19 19.0 0.35565757626104016
s10c2 without_location 210_1 209 48.0 1.2759209439521184
s10c2 without_location 210_4 209 53.0 0.6340099610669736
s10c2 without_location 216_1 215 6.0 0.005
s10c2 without_location 216_10 215 42.0 0.005
s10c2 without_location 216_11 215 42.0 0.005
s10c2 without_location 216_12 215 42.0 0.005
s10c2 without_location 216_13 215 28.0 0.29818157297098646
s10c2 without_location 216_14 215 28.0 0.29818157297098646
s10c2 without_location 216_15 215 91.0 0.7839484148034597
s10c2 without_location 216_17 215 41.0 1.0524629582175367
s10c2 without_location 216_18 215 41.0 1.0524629582175367
s10c2 without_location 216_19 215 41.0 0.8675030404797212
s10c2 without_location 216_2 215 6.0 0.005
s10c2 without_location 216_20 215 41.0 0.8675030404797212
s10c2 without_location 216_3 215 11.0 0.4522454921615956
s10c2 without_location 216_4 215 11.0 0.4522454921615956
s10c2 without_location 216_5 215 6.0 0.005
s10c2 without_location 216_6 215 6.0 0.005
s10c2 without_location 216_7 215 15.0 0.23256092636660963
s10c2 without_location 216_8 215 15.0 0.23256092636660963
s10c2 without_location 216_9 215 42.0 0.005
s10c2 without_location 62_1 61 42.0 0.09890637120797299
s10c2 without_location 62_2 61 42.0 0.005
s10c3 with_all_location 136_4 136 59.0 0.5336348509332282
s10c3 with_all_location 140_7 140 49.0 0.7799567925416052
s10c3 with_all_location 140_8 140 49.0 0.062352078510001734
s10c3 with_all_location 152_1 152 67.0 0.173363558448513
s10c3 with_all_location 157_3 157 72.0 0.0876888632464775
s10c3 with_all_location 182_9 182 42.0 0.572251550192334
s10c3 with_all_location 185_7 185 49.0 0.5880052996011039
s10c3 with_all_location 186_12 186 46.0 0.8040451230757768
s10c3 with_all_location 187_9 187 51.0 0.48807995133428445
s10c3 with_all_location 196_2 196 44.0 0.2913044429318394
s10c3 with_all_location 197_1 197 45.0 0.21669305503689595
s10c3 with_all_location 208_5 208 51.0 0.277123973403446
s10c3 with_all_location 209_20 209 69.0 0.3550399207094969
s10c3 with_all_location 211_7 211 54.0 0.2990461359050811
s10c3 with_all_location 216_1 216 19.0 0.197836780613176
s10c3 with_all_location 216_12 216 139.0 1.2593416917609621
s10c3 with_all_location 216_13 216 31.0 0.13770154122662975
