sample size dtype nodeName trueTime dvalue
s10c4 19 nMus 216_3 45.0 0
s10c4 19 nMus 216_4 45.0 0
s10c4 19 nMus 216_5 5.0 0
s10c4 19 nMus 216_6 5.0 0
s10c4 19 nMus 216_7 5.0 0
s10c4 19 nMus 216_8 5.0 0
s10c4 19 nMus 216_9 40.0 0.141
s10c4 19 nMus 57_1 56.0 2.496
s10c5 19 brlen 118_2 58.0 0.06379876059893404
s10c5 19 brlen 164_1 104.0 0.8094037888549308
s10c5 19 brlen 167_5 49.0 0.7666321031499512
s10c5 19 brlen 173_7 55.0 1.120401013955275
s10c5 19 brlen 205_2 41.0 0.37479598569927536
s10c5 19 brlen 207_1 43.0 0.37479598569928063
s10c5 19 brlen 212_9 45.0 0.3537689108053228
s10c5 19 brlen 213_11 46.0 0.005
s10c5 19 brlen 216_1 9.0 0.005
s10c5 19 brlen 216_10 4.0 0.005
s10c5 19 brlen 216_11 3.0 0.3537689108053229
s10c5 19 brlen 216_12 3.0 0.3537689108053229
s10c5 19 brlen 216_13 43.0 0.005
s10c5 19 brlen 216_14 43.0 0.005
s10c5 19 brlen 216_2 9.0 0.005
s10c5 19 brlen 216_3 11.0 0.005
s10c5 19 brlen 216_4 11.0 0.005
s10c5 19 brlen 216_9 4.0 0.005
s10c5 19 brlen 60_1 59.0 0.1893678186522682
s10c5 19 nMus 118_2 58.0 0.396
s10c5 19 nMus 164_1 104.0 5.279
s10c5 19 nMus 167_5 49.0 5.058
s10c5 19 nMus 173_7 55.0 4.09
s10c5 19 nMus 205_2 41.0 0.207
s10c5 19 nMus 207_1 43.0 2.207
s10c5 19 nMus 212_9 45.0 2.032
s10c5 19 nMus 213_11 46.0 0.003
s10c5 19 nMus 216_1 9.0 0
s10c5 19 nMus 216_10 4.0 0
s10c5 19 nMus 216_11 3.0 0.029
s10c5 19 nMus 216_12 3.0 1.029
s10c5 19 nMus 216_13 43.0 0
s10c5 19 nMus 216_14 43.0 0
s10c5 19 nMus 216_2 9.0 0
s10c5 19 nMus 216_3 11.0 0
s10c5 19 nMus 216_4 11.0 0
s10c5 19 nMus 216_9 4.0 0
s10c5 19 nMus 60_1 59.0 1.514
s11c1 11 brlen 154_2 126.0 0.42202144996303953
s11c1 11 brlen 165_4 70.0 0.44406307200253564
s11c1 11 brlen 167_5 72.0 0.005000000000003021
s11c1 11 brlen 216_1 62.0 0.2005674289956396
s11c1 11 brlen 216_2 62.0 0.2005674289956396
s11c1 11 brlen 216_3 51.0 0.17352580695607372
s11c1 11 brlen 216_4 51.0 0.17352580695607372
s11c1 11 brlen 216_5 49.0 0.6125888789586069
s11c1 11 brlen 216_6 49.0 0.6125888789586069
s11c1 11 brlen 28_1 27.0 0.10371561512214073
s11c1 11 brlen 95_3 67.0 0.005000000000069881
s11c1 11 nMus 154_2 126.0 2.946
s11c1 11 nMus 165_4 70.0 5.897
s11c1 11 nMus 167_5 72.0 0.001
s11c1 11 nMus 216_1 62.0 2.093
s11c1 11 nMus 216_2 62.0 0.093
s11c1 11 nMus 216_3 51.0 0.134
