[&R] (((((216_9:0.002,216_10:1.002)212_9:6.219,(216_11:1.002,216_12:0.002)213_11:5.219)167_5:14.908,(216_13:3.178,216_14:7.178)173_7:12.95)118_2:42.394,((216_3:1.006,216_4:1.006)205_2:11.804,(216_1:2.014,216_2:1.014)207_1:12.796)164_1:37.712)60_1:69.478)I0;
173_7,1,0,0,0,2,1,1,0,0,2,0,0:0.01/1:0.99,0:0.01/1:0.99,0,1,1,0,1,0,0,0,0,0,2,0,1,1,1,0:0.01/2:0.99,1,1,1,0:0.01/1:0.99,0,2,0,1,2,1,1,2,1,1,2,2,2,2,0,0,0,1,0,2,0,1,2,1,2,0,0,0,1,1,1,0,1,1,0,0,2,1,2,1,1,0,0,1,0,0,2,0:0.01/1:0.99,0,2,1,1,0,0,1,0,0,2,2,2,0,0,1,0,2,2,2,1,0,1,0:0.01/1:0.99,1,0,1,1,1,2,2,1,0,0:0.01/2:0.99,1,1,0,0,0,0,0,2,0,1,2,1,1,0,0:0.01/2:0.99,2,2,0,0,2,0,2,0,0,0,2,1,1,1,0,1,2,1,0:0.01/2:0.99,1,1,0:0.01/1:0.99,2,0,1,2,0,2,1,0,1,0,2,0,2,0,2,1,1,0:0.01/2:0.99,0,1,1,2,0,2,0,0:0.01/1:0.99,0,0,0,0,1,2,2,2,0,0,2,0,2,0,2,1,0,1,1,0,2,1,1
216_14,1,0,0,0,2,1,1,1,0,2,2,1,1,0,1,1,0,1,0,0,0,0,0,2,0,1,1,1,2,1,1,1,1,0,2,0,1,2,1,1,2,1,1,2,2,2,2,0,0,0,1,0,2,0,1,2,1,2,2,0,0,1,1,1,0,1,1,0,0,2,1,2,1,1,0,0,1,0,2,2,1,0,2,1,1,0,0,1,0,2,2,2,2,0,0,1,0,2,2,2,1,0,1,1,1,0,1,1,1,2,2,1,0,2,1,1,0,0,0,0,0,2,0,1,2,1,1,0,2,2,2,0,1,2,0,2,0,0,0,2,1,1,1,0,1,2,1,2,1,1,1,2,2,1,2,0,2,1,0,1,0,2,0,2,0,2,1,1,2,0,1,1,2,0,2,0,1,0,0,0,0,1,2,2,2,0,0,2,0,2,0,2,1,0,1,1,0,2,1,1
216_13,1,0,0,0,2,1,1,0,0,2,0,1,1,0,1,1,2,1,0,0,0,0,0,2,0,1,1,1,2,1,1,1,1,0,2,0,1,2,1,1,2,1,1,2,2,2,2,0,0,0,1,0,2,0,1,2,1,2,0,0,0,1,1,1,0,1,1,0,0,2,1,2,1,1,0,0,1,0,0,2,1,0,2,1,1,0,0,1,0,0,2,2,2,0,0,1,0,2,2,2,1,0,1,1,1,0,1,1,1,2,2,1,0,2,1,1,0,0,0,0,0,2,0,1,2,1,1,0,2,2,2,0,0,2,0,2,0,0,0,2,1,1,1,0,1,2,1,2,1,1,1,2,0,1,2,0,2,1,0,1,0,2,2,2,0,2,1,1,2,0,1,1,2,0,2,0,1,0,0,0,1,1,2,2,2,0,0,2,0,2,0,2,1,0,1,1,0,2,1,1
167_5,1,0,0,0,2,1,1,0:0.01/1:0.99,0,2,0,0,0,0,1,1,0,1,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,2,0,1,1,1,0:0.01/1:0.99,1,1,1,0,0:0.01/2:0.99,2,0:0.01/1:0.99,1,2,1,1,2,1,1,2,2,2,2,0,0,0,1,0,2,0,1,2,1,2,0,0,0,1,1,1,0,1,1,0,0,2,1,2,1,1,0:0.01/1:0.99,0,1,0,0,2,0,0,2,1,1,0,0,1,0,0:0.01/1:0.99,2,2,2,0,0,1,0,2,2,2,1,0,1,0,1,0,1,1,1,2,2,1,0,0,1,1,0:0.01/1:0.99,0,0,0,0,2,0,1,2,1,1,0,0,2,2,0:0.01/2:0.99,0,2,0,2,0,0:0.01/1:0.99,0,2,1,1,1,0,1,2,1,0,1,1,0,2,0,1,2,0,2,1,0,1,0,2,0,2,0,2,1,1,0:0.01/1:0.99,0,1,1,2,0,2,0,0,0,0,0:0.01/2:0.99,0,1,2,2,2,0,0,2,0,2,0,2,1,0,1,1,0,2,1,1
213_11,1,0,1,0,2,1,1,1,0,2,0,0,0,0,1,1,0,1,2,0,0,1,1,2,0,1,1,1,1,1,1,1,0,2,2,1,1,2,1,1,2,1,1,2,2,2,2,0,0,0,1,0,2,0,1,2,1,2,0,0,0,1,1,1,0,1,1,0,0,2,1,2,1,1,1,0,1,0,0,2,0,0,2,1,1,0,0,1,0,1,2,2,2,0,0,1,0,2,2,2,1,0,1,2,1,0,1,1,1,2,2,1,0,0,1,1,1,0,0,0,0,2,0,1,2,1,1,0,0,2,2,2,0,2,0,2,0,1,1,2,1,1,1,0,1,2,1,0,1,1,0,2,0,1,2,0,2,1,0,1,0,2,0,2,2,2,1,1,1,0,1,1,2,0,2,0,0,0,0,2,2,1,2,2,2,0,0,2,0,2,0,2,1,0,1,1,0,2,1,1
216_12,1,0,1,0,2,1,1,1,0,2,0,0,0,0,1,1,0,1,2,0,0,1,1,2,0,1,1,1,1,1,1,1,0,2,2,1,1,2,1,1,2,1,1,2,2,2,2,0,0,0,1,0,2,0,1,2,1,2,0,0,0,1,1,1,0,1,1,0,0,2,1,2,1,1,1,0,1,0,0,2,0,0,2,1,1,0,0,1,0,1,2,2,2,0,0,1,0,2,2,2,1,0,1,2,1,0,1,1,1,2,2,1,0,0,1,1,1,0,0,0,0,2,0,1,2,1,1,0,0,2,2,2,0,2,0,2,0,1,1,2,1,1,1,0,1,2,1,0,1,1,0,2,0,1,2,0,2,1,0,1,0,2,0,2,2,2,1,1,1,0,1,1,2,0,2,0,0,0,0,2,2,1,2,2,2,0,0,2,0,2,0,2,1,0,1,1,0,2,1,1
216_11,1,0,1,0,2,1,1,1,0,2,0,0,0,0,1,1,0,1,2,0,0,1,1,2,0,1,1,1,1,1,1,1,0,2,2,1,1,2,1,1,2,1,1,2,2,2,2,0,0,0,1,0,2,0,1,2,1,2,0,0,0,1,1,1,0,1,1,0,0,2,1,2,1,1,1,0,1,0,0,2,0,0,2,1,1,0,0,1,0,1,2,2,2,0,0,1,0,2,2,2,1,0,1,2,1,0,1,1,1,2,2,1,0,0,1,1,1,0,0,0,0,2,0,1,2,1,1,0,0,2,2,2,0,2,0,2,0,1,1,2,1,1,1,0,1,2,1,0,1,1,0,2,0,1,2,0,2,1,0,1,0,2,0,2,2,2,1,1,1,0,1,1,2,0,2,2,0,0,0,2,2,1,2,2,2,0,0,2,0,2,0,2,1,0,1,1,0,2,1,1
212_9,1,0,0,2,2,1,1,1,0,2,0,0,0,0,1,1,0,1,2,0,0,1,1,2,0,1,1,1,1,1,1,1,0,2,2,1,1,2,1,1,2,1,1,2,2,2,2,0,0,0,1,0,2,0,1,2,1,2,1,0,0,1,1,1,0,1,1,0,0,2,1,2,1,1,1,1,1,0,0,2,0,1,2,1,1,0,0,1,2,1,2,2,2,0,0,1,0,2,2,2,1,0,1,0,1,0,1,1,1,2,2,1,0,0,1,1,1,0,0,0,0,2,0,1,2,1,1,0,2,2,2,2,0,2,0,2,0,1,0,2,1,1,1,0,1,2,1,0,1,1,0,2,0,1,2,0,2,1,0,1,0,2,0,2,0,2,1,1,1,0,1,1,2,0,2,0,0,0,0,2,0,1,2,2,2,0,0,2,0,2,0,2,1,0,1,1,0,2,1,1
216_10,1,0,0,2,2,1,1,1,0,2,0,0,0,0,1,1,0,1,2,0,0,1,1,2,0,1,1,1,1,1,1,1,0,2,2,1,1,2,1,1,2,1,1,2,2,2,2,0,0,0,1,0,2,0,1,2,1,2,1,0,0,1,1,1,0,1,1,0,0,2,1,2,1,1,1,1,1,0,0,2,0,1,2,1,1,0,0,1,2,1,2,2,2,0,0,1,0,2,2,2,1,0,1,0,1,0,1,1,1,2,2,1,0,0,1,1,1,0,0,0,0,2,0,1,2,1,1,0,2,2,2,2,0,2,0,2,0,1,0,2,1,1,1,0,1,2,1,0,1,1,0,2,0,1,2,0,2,1,0,1,0,2,0,2,0,2,1,1,1,0,1,1,2,2,2,0,0,0,0,2,0,1,2,2,2,0,0,2,0,2,0,2,1,0,1,1,0,2,1,1
216_9,1,0,0,2,2,1,1,1,0,2,0,0,0,0,1,1,0,1,2,0,0,1,1,2,0,1,1,1,1,1,1,1,0,2,2,1,1,2,1,1,2,1,1,2,2,2,2,0,0,0,1,0,2,0,1,2,1,2,1,0,0,1,1,1,0,1,1,0,0,2,1,2,1,1,1,1,1,0,0,2,0,1,2,1,1,0,0,1,2,1,2,2,2,0,0,1,0,2,2,2,1,0,1,0,1,0,1,1,1,2,2,1,0,0,1,1,1,0,0,0,0,2,0,1,2,1,1,0,2,2,2,2,0,2,0,2,0,1,0,2,1,1,1,0,1,2,1,0,1,1,0,2,0,1,2,0,2,1,0,1,0,2,0,2,0,2,1,1,1,0,1,1,2,0,2,0,0,0,0,2,0,1,2,2,2,0,0,2,0,2,0,2,1,0,1,1,0,2,1,1
