method error
problin 1.3125350131704587
problin 0.19590368817021422
problin 0.19590368817021422
problin 0.3986092384588066
problin 0.3675673389020836
problin 0.7372621224283185
problin 0.005000001551464166
problin 0.005000001551464166
problin 0.7372621221572085
problin 0.005000001822574053
problin 0.005000001822574053
problin 0.2949140542374744
problin 0.804915409055874
problin 0.009999999588517852
problin 0.005000000113110534
problin 0.004999999475407317
problin 0.004999999475407317
problin 0.6462083876955684
problin 0.1637070165588553
problin 0.00500000438996812
problin 0.00500000438996812
problin 0.004999999702522296
problin 0.16370702124630113
problin 0.16370702124630113
problin 0.005000014828387779
problin 1.0333148406293395
problin 0.15834730180064743
problin 0.15834730180064743
problin 0.39002678326828644
problin 0.5956694414808569
problin 0.005000040058832478
problin 0.20096587762201126
problin 0.20096587762201126
problin 0.2009659270974099
problin 0.004999990583433839
problin 0.004999990583433839
problin 0.2995263871971338
problin 0.4921089859662981
problin 0.009999985998268667
problin 0.004999994729598996
problin 0.004999991268669671
problin 0.004999991268669671
problin 0.3785826708451632
problin 0.00499999300847747
problin 0.11852630811092607
problin 0.11852630811092607
problin 0.11852629300129226
problin 0.005000008118111278
problin 0.005000008118111278
problin 0.0050000015877332115
problin 0.9858733918098611
problin 0.13224747802452014
problin 0.13224747802452014
problin 0.43913834390279616
problin 0.046608629717934856
problin 0.6273738967199299
problin 0.004999999493720369
problin 0.004999999493720369
problin 0.6273738967199299
problin 0.004999999493720362
problin 0.004999999493720362
problin 0.12274900518347803
problin 0.5462335222064283
problin 0.009999998541678812
problin 0.004999999485318427
problin 0.004999999056360386
problin 0.004999999056360386
problin 0.35453245798340927
problin 0.19670106368538356
problin 0.004999999079314205
problin 0.004999999079314205
problin 0.19670106210874727
problin 0.005000000655950483
problin 0.005000000655950483
problin 0.005000000159162333
problin 1.5779684738275743
problin 0.004999999981090074
problin 0.004999999981090074
problin 0.031082047481893138
problin 1.5418864262937308
problin 0.0050000000425251745
problin 0.004999999990515258
problin 0.004999999990515258
problin 0.0050000000425251745
problin 0.004999999990515258
problin 0.004999999990515258
problin 0.9036492388194933
problin 0.36101528070955136
