sample,cellID,trueBrlen,method,estBrlen
s20c6/k10_r3,b'76_10',0.78,problin,1.1614712345151936
s20c6/k10_r3,b'16_13',0.24,spalin,0.3176017662284974
s20c6/k10_r3,b'16_13',0.24,problin,0.005000000074681961
s20c6/k10_r3,b'16_12',0.24,spalin,0.3176017662284974
s20c6/k10_r3,b'16_12',0.24,problin,0.005000000074681961
s20c6/k10_r3,b'9_4',0.258,spalin,0.6815109784381664
s20c6/k10_r3,b'9_4',0.258,problin,0.6416324959722695
s20c6/k10_r3,b'16_16',0.762,spalin,0.6075348108653646
s20c6/k10_r3,b'16_16',0.762,problin,0.5248387386176061
s20c6/k10_r3,b'16_19',0.762,spalin,0.6075348108653646
s20c6/k10_r3,b'16_19',0.762,problin,0.5248387386176061
s20c6/k10_r4,b'_1',0.0,spalin,0.00500000000135408
s20c6/k10_r4,b'_1',0.0,problin,0.004999998276125117
s20c6/k10_r4,b'7_1',0.276,spalin,0.11162468640808909
s20c6/k10_r4,b'7_1',0.276,problin,0.11583089513598412
s20c6/k10_r4,b'56_1',0.654,spalin,0.7275749529808255
s20c6/k10_r4,b'56_1',0.654,problin,0.7498301209196317
s20c6/k10_r4,b'10_3',0.324,spalin,0.005150441169852499
s20c6/k10_r4,b'10_3',0.324,problin,0.004999999908426542
s20c6/k10_r4,b'16_4',0.036000000000000004,spalin,0.04266590942955976
s20c6/k10_r4,b'16_4',0.036000000000000004,problin,0.004999998619662683
s20c6/k10_r4,b'16_3',0.036000000000000004,spalin,0.04266590942955976
s20c6/k10_r4,b'16_3',0.036000000000000004,problin,0.004999998619662683
s20c6/k10_r4,b'01_1',0.27,spalin,0.023825693581946562
s20c6/k10_r4,b'01_1',0.27,problin,0.004999999908426542
s20c6/k10_r4,b'16_2',0.09,spalin,0.023990657017465694
s20c6/k10_r4,b'16_2',0.09,problin,0.004999998619662683
s20c6/k10_r4,b'16_1',0.09,spalin,0.023990657017465694
s20c6/k10_r4,b'16_1',0.09,problin,0.004999998619662683
s20c6/k10_r4,b'04_3',0.342,spalin,0.40414766111175104
s20c6/k10_r4,b'04_3',0.342,problin,0.2844316409956396
s20c6/k10_r4,b'66_5',0.372,spalin,0.29606360829760986
s20c6/k10_r4,b'66_5',0.372,problin,0.33659198500350707
s20c6/k10_r4,b'16_9',0.3,spalin,0.07518003417087697
s20c6/k10_r4,b'16_9',0.3,problin,0.13880649344857435
s20c6/k10_r4,b'16_8',0.3,spalin,0.07518003417087697
s20c6/k10_r4,b'16_8',0.3,problin,0.13880649344857435
s20c6/k10_r4,b'57_6',0.318,spalin,0.22941652865323198
s20c6/k10_r4,b'57_6',0.318,problin,0.25303687642707307
s20c6/k10_r4,b'16_11',0.354,spalin,0.14182711381525487
s20c6/k10_r4,b'16_11',0.354,problin,0.22236160202500832
s20c6/k10_r4,b'16_10',0.354,spalin,0.14182711381525487
s20c6/k10_r4,b'16_10',0.354,problin,0.22236160202500832
s20c6/k10_r4,b'6_2',0.27,spalin,0.005000000001105564
s20c6/k10_r4,b'6_2',0.27,problin,0.029395509536082456
s20c6/k10_r4,b'76_10',0.78,spalin,0.6445488744896619
s20c6/k10_r4,b'76_10',0.78,problin,0.7231956120421317
s20c6/k10_r4,b'16_13',0.24,spalin,0.23746711549755933
s20c6/k10_r4,b'16_13',0.24,problin,0.12306989300549095
s20c6/k10_r4,b'16_12',0.24,spalin,0.23746711549755933
s20c6/k10_r4,b'16_12',0.24,problin,0.12306989300549095
s20c6/k10_r4,b'9_4',0.258,spalin,0.40123516512097235
s20c6/k10_r4,b'9_4',0.258,problin,0.3597240969256623
s20c6/k10_r4,b'16_16',0.762,spalin,0.48078082486624896
s20c6/k10_r4,b'16_16',0.762,problin,0.4865414081219603
s20c6/k10_r4,b'16_19',0.762,spalin,0.48078082486624896
s20c6/k10_r4,b'16_19',0.762,problin,0.4865414081219603
s20c6/k10_r5,b'_1',0.0,spalin,0.005000000009532988
s20c6/k10_r5,b'_1',0.0,problin,0.004999999363511031
s20c6/k10_r5,b'7_1',0.276,spalin,0.2550283612285545
s20c6/k10_r5,b'7_1',0.276,problin,0.25252478256086275
s20c6/k10_r5,b'56_1',0.654,spalin,0.27387655960903684
s20c6/k10_r5,b'56_1',0.654,problin,0.1202645980485324
s20c6/k10_r5,b'10_3',0.324,spalin,0.5072742031772962
s20c6/k10_r5,b'10_3',0.324,problin,0.6996975075944749
s20c6/k10_r5,b'16_4',0.036000000000000004,spalin,0.06182165583318247
s20c6/k10_r5,b'16_4',0.036000000000000004,problin,0.004999999851430657
s20c6/k10_r5,b'16_3',0.036000000000000004,spalin,0.06182165583318247
s20c6/k10_r5,b'16_3',0.036000000000000004,problin,0.004999999851430657
s20c6/k10_r5,b'01_1',0.27,spalin,0.3835406967882829
s20c6/k10_r5,b'01_1',0.27,problin,0.4012585831352694
s20c6/k10_r5,b'16_2',0.09,spalin,0.18555516222219573
s20c6/k10_r5,b'16_2',0.09,problin,0.30343892431063624
s20c6/k10_r5,b'16_1',0.09,spalin,0.18555516222219573
s20c6/k10_r5,b'16_1',0.09,problin,0.30343892431063624
s20c6/k10_r5,b'04_3',0.342,spalin,0.3302538337855273
