experiment,cell_name,method,trueBrlen,estBrlen
s5c3_,b'210_1',spalin-divide-beta7,0.17674418604651163,0.09764993349184335
s5c3_,b'216_2',spalin-divide-beta7,0.027906976744186046,0.016519918371282666
s5c3_,b'216_1',spalin-divide-beta7,0.027906976744186046,0.016519918371282666
s5c3_,b'91_2',spalin-divide-beta7,0.2,0.30296171114602566
s5c3_,b'147_7',spalin-divide-beta7,0.26046511627906976,0.3492129014028367
s5c3_,b'189_9',spalin-divide-beta7,0.19534883720930232,0.32658331732036383
s5c3_,b'216_16',spalin-divide-beta7,0.12558139534883722,0.004162831221044444
s5c3_,b'216_15',spalin-divide-beta7,0.12558139534883722,0.004162831221044444
s5c3_,b'189_8',spalin-divide-beta7,0.19534883720930232,0.0028866747886938937
s5c3_,b'216_14',spalin-divide-beta7,0.12558139534883722,0.3278594737620894
s5c3_,b'216_13',spalin-divide-beta7,0.12558139534883722,0.3278594737620894
s5c3_,b'145_5',spalin-divide-beta7,0.25116279069767444,0.13281585927466355
s5c3_,b'216_12',spalin-divide-beta7,0.3302325581395349,0.5471431906695813
s5c3_,b'190_5',spalin-divide-beta7,0.20930232558139533,0.24939693662449058
s5c3_,b'216_10',spalin-divide-beta7,0.12093023255813953,0.2977462540450907
s5c3_,b'216_9',spalin-divide-beta7,0.12093023255813953,0.2977462540450907
s5c3_,b'42_2',spalin-divide-beta7,0.19069767441860463,0.0028866747931221627
s5c3_,b'90_5',spalin-divide-beta7,0.22325581395348837,0.07081833799462085
s5c3_,b'216_33',spalin-divide-beta7,0.586046511627907,0.9234083124107909
s5c3_,b'149_13',spalin-divide-beta7,0.2744186046511628,0.36275250739232395
s5c3_,b'216_31',spalin-divide-beta7,0.3116279069767442,0.560655805018467
s5c3_,b'190_18',spalin-divide-beta7,0.19069767441860463,0.4468261037371673
s5c3_,b'216_29',spalin-divide-beta7,0.12093023255813953,0.11382970128129981
s5c3_,b'216_28',spalin-divide-beta7,0.12093023255813953,0.11382970128129981
s5c3_,b'83_3',spalin-divide-beta7,0.19069767441860463,0.07729854059050038
s5c3_,b'172_10',spalin-divide-beta7,0.413953488372093,0.17270081208960122
s5c3_,b'211_21',spalin-divide-beta7,0.1813953488372093,0.39744179234115207
s5c3_,b'216_25',spalin-divide-beta7,0.023255813953488372,0.34678550538415814
s5c3_,b'216_24',spalin-divide-beta7,0.023255813953488372,0.34678550538415814
s5c3_,b'206_18',spalin-divide-beta7,0.15813953488372093,0.7413406229424035
s5c3_,b'216_27',spalin-divide-beta7,0.046511627906976744,0.0028866747881078703
s5c3_,b'216_26',spalin-divide-beta7,0.046511627906976744,0.0028866747881078703
s5c3_,b'132_5',spalin-divide-beta7,0.22790697674418603,0.0028866747878432066
s5c3_,b'216_23',spalin-divide-beta7,0.39069767441860465,0.9140414350302768
s5c3_,b'210_13',spalin-divide-beta7,0.3627906976744186,0.72644160955848
s5c3_,b'216_18',spalin-divide-beta7,0.027906976744186046,0.1875998254717969
s5c3_,b'216_17',spalin-divide-beta7,0.027906976744186046,0.1875998254717969
s5c3_,b'virtual',spalin-divide-beta10,0.0,0.0028372287512186596
s5c3_,b'48_1',spalin-divide-beta10,0.2186046511627907,0.01973511832908613
s5c3_,b'133_1',spalin-divide-beta10,0.3953488372093023,0.4869770151345011
s5c3_,b'177_3',spalin-divide-beta10,0.20465116279069767,0.30646330968272384
s5c3_,b'213_7',spalin-divide-beta10,0.16744186046511628,0.17235434005160108
s5c3_,b'216_8',spalin-divide-beta10,0.013953488372093023,0.011632986729154585
s5c3_,b'216_7',spalin-divide-beta10,0.013953488372093023,0.011632986729154585
s5c3_,b'212_5',spalin-divide-beta10,0.16279069767441862,0.17937885559176417
s5c3_,b'216_6',spalin-divide-beta10,0.018604651162790697,0.004608471188991517
s5c3_,b'216_5',spalin-divide-beta10,0.018604651162790697,0.004608471188991517
s5c3_,b'172_1',spalin-divide-beta10,0.1813953488372093,0.4148617958343702
s5c3_,b'211_3',spalin-divide-beta10,0.1813953488372093,0.002837228782482502
s5c3_,b'216_4',spalin-divide-beta10,0.023255813953488372,0.07275161230619812
s5c3_,b'216_3',spalin-divide-beta10,0.023255813953488372,0.07275161230619812
s5c3_,b'210_1',spalin-divide-beta10,0.17674418604651163,0.07275161307835334
s5c3_,b'216_2',spalin-divide-beta10,0.027906976744186046,0.002837228872470511
s5c3_,b'216_1',spalin-divide-beta10,0.027906976744186046,0.002837228872470511
s5c3_,b'91_2',spalin-divide-beta10,0.2,0.31181212994174895
s5c3_,b'147_7',spalin-divide-beta10,0.26046511627906976,0.35753267762993235
s5c3_,b'189_9',spalin-divide-beta10,0.19534883720930232,0.2969561063087655
s5c3_,b'216_16',spalin-divide-beta10,0.12558139534883722,0.011126737717533992
s5c3_,b'216_15',spalin-divide-beta10,0.12558139534883722,0.011126737717533992
s5c3_,b'189_8',spalin-divide-beta10,0.19534883720930232,0.0028372287390011275
s5c3_,b'216_14',spalin-divide-beta10,0.12558139534883722,0.3052456153301917
s5c3_,b'216_13',spalin-divide-beta10,0.12558139534883722,0.3052456153301917
s5c3_,b'145_5',spalin-divide-beta10,0.25116279069767444,0.1340174943468515
s5c3_,b'216_12',spalin-divide-beta10,0.3302325581395349,0.5315980273093802
s5c3_,b'190_5',spalin-divide-beta10,0.20930232558139533,0.26063456957836145
s5c3_,b'216_10',spalin-divide-beta10,0.12093023255813953,0.27096345773101876
s5c3_,b'216_9',spalin-divide-beta10,0.12093023255813953,0.27096345773101876
s5c3_,b'42_2',spalin-divide-beta10,0.19069767441860463,0.0028372287515249944
s5c3_,b'90_5',spalin-divide-beta10,0.22325581395348837,0.07461126220291621
s5c3_,b'216_33',spalin-divide-beta10,0.586046511627907,0.9197142791355408
s5c3_,b'149_13',spalin-divide-beta10,0.2744186046511628,0.36617340211074023
s5c3_,b'216_31',spalin-divide-beta10,0.3116279069767442,0.5535408770248005
s5c3_,b'190_18',spalin-divide-beta10,0.19069767441860463,0.530921059234619
s5c3_,b'216_29',spalin-divide-beta10,0.12093023255813953,0.02261981779018156
s5c3_,b'216_28',spalin-divide-beta10,0.12093023255813953,0.02261981779018156
s5c3_,b'83_3',spalin-divide-beta10,0.19069767441860463,0.06541217861677838
s5c3_,b'172_10',spalin-divide-beta10,0.413953488372093,0.1665921435742489
s5c3_,b'211_21',spalin-divide-beta10,0.1813953488372093,0.43520523750820456
s5c3_,b'216_25',spalin-divide-beta10,0.023255813953488372,0.3271159816392249
s5c3_,b'216_24',spalin-divide-beta10,0.023255813953488372,0.3271159816392249
s5c3_,b'206_18',spalin-divide-beta10,0.15813953488372093,0.6753791658021983
s5c3_,b'216_27',spalin-divide-beta10,0.046511627906976744,0.0869420533452312
s5c3_,b'216_26',spalin-divide-beta10,0.046511627906976744,0.0869420533452312
s5c3_,b'132_5',spalin-divide-beta10,0.22790697674418603,0.0028372287361226097
s5c3_,b'216_23',spalin-divide-beta10,0.39069767441860465,0.9260761340011772
s5c3_,b'210_13',spalin-divide-beta10,0.3627906976744186,0.7533551200941478
s5c3_,b'216_18',spalin-divide-beta10,0.027906976744186046,0.1727210139070293
s5c3_,b'216_17',spalin-divide-beta10,0.027906976744186046,0.1727210139070293
