sample,parentID,child1ID,child2ID,frameDiff,angle
s21c4,162_7,172_7,172_8,10,154.07509849244556
s21c4,193_3,203_5,203_6,10,101.30993247402021
s21c4,193_15,203_25,203_26,10,139.27946353024524
s21c4,194_14,204_21,204_22,10,83.31068460236594
s21c4,195_5,205_7,205_8,10,62.35402463626132
s21c4,197_20,207_28,207_29,10,142.80640082923574
s21c4,198_2,208_3,208_4,10,111.37062226934319
s21c4,199_1,209_1,209_2,10,135.0
s21c4,199_8,209_9,209_10,10,166.32869286780416
s21c4,200_20,210_25,210_26,10,141.9112271190247
s21c4,201_11,211_11,211_12,10,133.66778014613035
s21c4,201_14,211_17,211_18,10,149.03624346792648
s21c4,202_17,212_19,212_20,10,141.34019174590992
s21c4,205_14,215_15,215_16,10,41.18592516570965
s19c2,10_1,20_1,20_2,10,166.95436293705137
s19c2,67_2,77_3,77_4,10,162.1811110854772
s19c2,69_1,79_1,79_2,10,143.56914187983767
s19c2,112_3,122_3,122_4,10,151.69924423399362
s19c2,116_5,126_7,126_8,10,151.3895403340348
s19c2,122_1,132_1,132_2,10,174.53463340336666
s19c2,122_2,132_3,132_4,10,64.6538240580533
s19c2,155_5,165_3,165_4,10,172.23483398157467
s19c2,160_6,170_5,170_6,10,161.565051177078
s19c2,161_8,171_9,171_10,10,179.12309225856933
s19c2,167_7,177_7,177_8,10,144.46232220802563
s19c2,178_1,188_1,188_2,10,153.07797039218974
s19c2,194_5,204_7,204_8,10,128.91424888048243
s19c2,195_3,205_3,205_4,10,157.78240573048168
s19c2,196_5,206_5,206_6,10,173.08877288097534
s19c2,198_9,208_9,208_10,10,65.55604521958347
s19c2,202_15,212_17,212_18,10,143.82037955202105
s19c2,204_13,214_13,214_14,10,130.07656262330377
s19c2,206_11,216_10,216_11,10,122.31961650818016
s3c1,20_1,30_1,30_2,10,158.7358753394477
s3c1,67_2,77_3,77_4,10,161.565051177078
s3c1,68_1,78_1,78_2,10,140.71059313749964
s3c1,121_1,131_1,131_2,10,144.4007800410238
s3c1,121_3,131_4,131_5,10,148.52713510792304
s3c1,133_6,143_6,143_7,10,142.12501634890182
s3c1,161_1,171_1,171_2,10,143.24344697289433
s3c1,165_5,175_7,175_8,10,52.07353767496139
s3c1,169_4,179_5,179_6,10,163.92642583525364
s3c1,173_3,183_3,183_4,10,119.156917882313
s3c1,180_9,190_9,190_10,10,88.61964592655556
s3c1,195_1,205_1,205_2,10,146.05145702666542
s3c1,195_11,205_14,205_15,10,134.7031333326753
s3c1,202_3,212_3,212_4,10,158.7789146594791
s3c1,203_9,213_10,213_11,10,160.01689347810003
s20c4,15_1,25_1,25_2,10,121.42956561483851
s20c4,59_1,69_1,69_2,10,167.9052429229879
s20c4,66_3,76_3,76_4,10,155.48577817176871
s20c4,105_2,115_3,115_4,10,165.37912601136836
s20c4,112_1,122_1,122_2,10,169.36523906125967
s20c4,116_5,126_5,126_6,10,163.6104596659652
s20c4,123_7,133_7,133_8,10,118.81079374297306
s20c4,150_3,160_3,160_4,10,161.43687291325443
s20c4,155_5,165_5,165_6,10,138.94518622903755
s20c4,170_8,180_8,180_9,10,132.19754848013324
s20c4,177_10,187_10,187_11,10,129.47245984834382
s20c4,179_1,189_1,189_2,10,136.33221985386965
s20c4,180_12,190_11,190_12,10,96.70983680775691
s20c4,193_3,203_3,203_4,10,159.81419699053515
s20c4,197_6,207_7,207_8,10,180.0
s20c4,199_5,209_5,209_6,10,180.0
s20c4,204_10,214_9,214_10,10,132.38045120460532
s9c6,53_1,63_1,63_2,10,143.13010235415598
s9c6,143_1,153_1,153_2,10,105.25511870305778
s9c6,183_1,193_1,193_2,10,173.1909498203866
s9c6,185_3,195_3,195_4,10,175.2363583092738
s8c5,39_2,49_3,49_4,10,177.35745470593528
s8c5,46_1,56_1,56_2,10,176.56636963754949
s8c5,87_4,97_6,97_7,10,168.69006752597977
s8c5,90_1,100_1,100_2,10,164.19748604606445
s8c5,90_3,100_4,100_5,10,165.89464223566475
s8c5,106_3,116_3,116_4,10,69.62356478616357
s8c5,135_2,145_3,145_4,10,179.48844413341297
s8c5,139_9,149_13,149_14,10,143.9726266148964
s8c5,140_8,150_11,150_12,10,162.47443162627712
s8c5,141_6,151_7,151_8,10,123.04812486997523
s8c5,143_1,153_1,153_2,10,152.969139740157
s8c5,146_9,156_9,156_10,10,150.25511870305778
s8c5,159_5,169_5,169_6,10,174.7341596882209
s8c5,161_7,171_7,171_8,10,107.40270413135629
s8c5,174_3,184_3,184_4,10,117.34987578006988
s8c5,177_16,187_20,187_21,10,111.467651439099
s8c5,178_5,188_6,188_7,10,173.8298249049704
