experiment,method,est_sigma
s15c6_k10_r4_,spalin-divide-beta7,1.295365431797525
s15c6_k10_r4_,spalin-divide-beta10,1.270774250136382
s15c6_k10_r5_,spalin-spatialonly,3.575615457879646
s15c6_k10_r5_,spalin-divide-beta5-spatialonly,1.625075477936171
s15c6_k10_r5_,spalin,2.624930943792181
s15c6_k10_r5_,spalin-divide-beta1,1.574074084692249
s15c6_k10_r5_,spalin-divide-beta3,1.479062642130303
s15c6_k10_r5_,spalin-divide-beta5,1.38102525388252
s15c6_k10_r5_,spalin-divide-beta7,1.252015755196181
s15c6_k10_r5_,spalin-divide-beta10,1.17959530939878
s15c1_k10_r1_,spalin-spatialonly,4.11285493980081
s15c1_k10_r1_,spalin-divide-beta5-spatialonly,1.51874819207474
s15c1_k10_r1_,spalin,2.286229075583874
s15c1_k10_r1_,spalin-divide-beta1,1.47286542589238
s15c1_k10_r1_,spalin-divide-beta3,1.392408160618596
s15c1_k10_r1_,spalin-divide-beta5,1.30954985073736
s15c1_k10_r1_,spalin-divide-beta7,1.200957637896726
s15c1_k10_r1_,spalin-divide-beta10,1.11565648108282
s15c1_k10_r2_,spalin-spatialonly,4.11285493980081
s15c1_k10_r2_,spalin-divide-beta5-spatialonly,1.520154950095894
s15c1_k10_r2_,spalin,2.25195412537969
s15c1_k10_r2_,spalin-divide-beta1,1.458101421784023
s15c1_k10_r2_,spalin-divide-beta3,1.369606752145669
s15c1_k10_r2_,spalin-divide-beta5,1.276154390596875
s15c1_k10_r2_,spalin-divide-beta7,1.177337217159371
s15c1_k10_r2_,spalin-divide-beta10,1.035964957264949
s15c1_k10_r3_,spalin-spatialonly,4.11285493980081
s15c1_k10_r3_,spalin-divide-beta5-spatialonly,1.51898356310394
s15c1_k10_r3_,spalin,2.944635355216936
s15c1_k10_r3_,spalin-divide-beta1,1.66938318431582
s15c1_k10_r3_,spalin-divide-beta3,1.572263923222287
s15c1_k10_r3_,spalin-divide-beta5,1.471557178269428
s15c1_k10_r3_,spalin-divide-beta7,1.31962778995632
s15c1_k10_r3_,spalin-divide-beta10,1.139172948756965
s15c1_k10_r4_,spalin-spatialonly,4.11285493980081
s15c1_k10_r4_,spalin-divide-beta5-spatialonly,1.515136779452743
s15c1_k10_r4_,spalin,2.311167026383811
s15c1_k10_r4_,spalin-divide-beta1,1.47892039027125
s15c1_k10_r4_,spalin-divide-beta3,1.393611395420068
s15c1_k10_r4_,spalin-divide-beta5,1.30509124713149
s15c1_k10_r4_,spalin-divide-beta7,1.21455334970895
s15c1_k10_r4_,spalin-divide-beta10,1.0599924755768
s15c1_k10_r5_,spalin-spatialonly,4.11285493980081
