experiment,method,est_sigma
s19c2_,spalin-divide-beta3,1.776926206289718
s19c2_,spalin-divide-beta5,1.600361646595394
s19c2_,spalin-divide-beta7,1.366936675455701
s19c2_,spalin-divide-beta10,1.268941777284255
s19c2_,spalin_spatialonly,2.646879103318332
s19c2_,spalin-divide-beta5_spatialonly,1.100024372246416
s5c9_,spalin,3.09365303704736
s5c9_,spalin-divide-beta1,1.709591643336215
s5c9_,spalin-divide-beta3,1.607298636883873
s5c9_,spalin-divide-beta5,1.498786192551933
s5c9_,spalin-divide-beta7,1.383417124634249
s5c9_,spalin-divide-beta10,1.197691806371583
s5c9_,spalin_spatialonly,2.809227852593369
s5c9_,spalin-divide-beta5_spatialonly,1.468530890640191
s7c3_,spalin,3.25377100865442
s7c3_,spalin-divide-beta1,1.759444310640508
s7c3_,spalin-divide-beta3,1.668035005696208
s7c3_,spalin-divide-beta5,1.572487680319995
s7c3_,spalin-divide-beta7,1.423689408906573
s7c3_,spalin-divide-beta10,1.256618245799485
s7c3_,spalin_spatialonly,4.17350560271208
s7c3_,spalin-divide-beta5_spatialonly,1.550242727808802
s13c2_,spalin,3.5917256785404
s13c2_,spalin-divide-beta1,1.856300428806335
s13c2_,spalin-divide-beta3,1.777030454620586
s13c2_,spalin-divide-beta5,1.683396463114253
s13c2_,spalin-divide-beta7,1.539665497420157
s13c2_,spalin-divide-beta10,1.464439577227213
s13c2_,spalin_spatialonly,4.9594759993283
s13c2_,spalin-divide-beta5_spatialonly,1.695384298266129
s9c2_,spalin,2.02339798661378
s9c2_,spalin-divide-beta1,1.38298392512311
s9c2_,spalin-divide-beta3,1.301506907605992
s9c2_,spalin-divide-beta5,1.198763265803301
s9c2_,spalin-divide-beta7,1.120996349023788
s9c2_,spalin-divide-beta10,1.000781691311358
s9c2_,spalin_spatialonly,3.325589166770009
s9c2_,spalin-divide-beta5_spatialonly,1.252887846156841
s1c1_,spalin,2.703879614149826
s1c1_,spalin-divide-beta1,1.598806703330559
s1c1_,spalin-divide-beta3,1.504071490341243
s1c1_,spalin-divide-beta5,1.404118908409356
s1c1_,spalin-divide-beta7,1.29858470910336
s1c1_,spalin-divide-beta10,1.074651402436086
s1c1_,spalin_spatialonly,2.9981809444182
s1c1_,spalin-divide-beta5_spatialonly,1.556897769279483
s9c5_,spalin,2.48450754475192
s9c5_,spalin-divide-beta1,1.541854985276309
s9c5_,spalin-divide-beta3,1.471394692286931
s9c5_,spalin-divide-beta5,1.398758409219815
s9c5_,spalin-divide-beta7,1.324250721492766
s9c5_,spalin-divide-beta10,1.18613916513187
s9c5_,spalin_spatialonly,4.41835032126827
s9c5_,spalin-divide-beta5_spatialonly,1.635116188451442
s15c7_,spalin,2.49077544581111
s15c7_,spalin-divide-beta1,1.535236004084707
s15c7_,spalin-divide-beta3,1.446417580719957
s15c7_,spalin-divide-beta5,1.352804041893502
s15c7_,spalin-divide-beta7,1.254133589846079
s15c7_,spalin-divide-beta10,1.08350724293216
s15c7_,spalin_spatialonly,3.991426540421157
s15c7_,spalin-divide-beta5_spatialonly,1.504389743923737
s3c5_,spalin,1.517569705792997
s3c5_,spalin-divide-beta1,1.1841382846431
s3c5_,spalin-divide-beta3,1.083080774934887
s3c5_,spalin-divide-beta5,0.973522806216355
s3c5_,spalin-divide-beta7,0.854564958741042
s3c5_,spalin-divide-beta10,0.688302448783913
s3c5_,spalin_spatialonly,2.367848127101576
s3c5_,spalin-divide-beta5_spatialonly,1.279443989452897
s2c10_,spalin,4.6832636699841
s2c10_,spalin-divide-beta1,2.11304287278782
s2c10_,spalin-divide-beta3,1.976735370400059
s2c10_,spalin-divide-beta5,1.789855747888997
s2c10_,spalin-divide-beta7,1.663370667201995
s2c10_,spalin-divide-beta10,1.493057591268752
s2c10_,spalin_spatialonly,2.940590485540032
s2c10_,spalin-divide-beta5_spatialonly,1.4884424581168
s21c4_,spalin,3.122036583586486
s21c4_,spalin-divide-beta1,1.715838914783689
s21c4_,spalin-divide-beta3,1.573038263195983
s21c4_,spalin-divide-beta5,1.44634215351481
s21c4_,spalin-divide-beta7,1.318761442958917
s21c4_,spalin-divide-beta10,1.193779049344893
s21c4_,spalin_spatialonly,3.761023192860735
s21c4_,spalin-divide-beta5_spatialonly,1.329155431680581
s21c3_,spalin,2.386678908529868
s21c3_,spalin-divide-beta1,1.514886222731087
s21c3_,spalin-divide-beta3,1.454787994103978
s21c3_,spalin-divide-beta5,1.39496261604787
s21c3_,spalin-divide-beta7,1.33612810100371
s21c3_,spalin-divide-beta10,1.251707635945749
s21c3_,spalin_spatialonly,2.52092925704884
s21c3_,spalin-divide-beta5_spatialonly,1.4779921795665
s21c5_,spalin,2.346522353394698
s21c5_,spalin-divide-beta1,1.495349839307758
s21c5_,spalin-divide-beta3,1.420758760835256
s21c5_,spalin-divide-beta5,1.344129187851627
s21c5_,spalin-divide-beta7,1.266107121988472
s21c5_,spalin-divide-beta10,1.140176529911472
s21c5_,spalin_spatialonly,3.89025192541
s21c5_,spalin-divide-beta5_spatialonly,1.497354963575496
s14c5_,spalin,2.19006826557063
s14c5_,spalin-divide-beta1,1.431691194493816
s14c5_,spalin-divide-beta3,1.33234690999656
s14c5_,spalin-divide-beta5,1.230126553500653
s14c5_,spalin-divide-beta7,1.12189455529215
s14c5_,spalin-divide-beta10,1.014994493573858
s14c5_,spalin_spatialonly,3.055479245826386
s14c5_,spalin-divide-beta5_spatialonly,1.272257658423316
s2c9_,spalin,2.5748071000031
s2c9_,spalin-divide-beta1,1.54717543092697
s2c9_,spalin-divide-beta3,1.389966248277483
s2c9_,spalin-divide-beta5,1.231956461824621
s2c9_,spalin-divide-beta7,1.173293462195687
s2c9_,spalin-divide-beta10,0.95612214733386
s2c9_,spalin_spatialonly,1.84168109992244
s2c9_,spalin-divide-beta5_spatialonly,0.907253341135513
s16c8_,spalin,3.4791386905192
s16c8_,spalin-divide-beta1,1.820634505744187
s16c8_,spalin-divide-beta3,1.729166885217228
s16c8_,spalin-divide-beta5,1.622856026545548
s16c8_,spalin-divide-beta7,1.465648213967947
s16c8_,spalin-divide-beta10,1.319719978704563
s16c8_,spalin_spatialonly,4.30442028239964
s16c8_,spalin-divide-beta5_spatialonly,1.577292810156844
s14c2_,spalin,1.816290726901721
s14c2_,spalin-divide-beta1,1.301371923400154
s14c2_,spalin-divide-beta3,1.2046152213424
s14c2_,spalin-divide-beta5,1.10158701301504
s14c2_,spalin-divide-beta7,0.99224606565605
s14c2_,spalin-divide-beta10,0.824509336531617
s14c2_,spalin_spatialonly,2.920901257591528
s14c2_,spalin-divide-beta5_spatialonly,1.229311009609959
s16c6_,spalin,3.58539721830933
s16c6_,spalin-divide-beta1,1.844076902417219
s16c6_,spalin-divide-beta3,1.742268460735521
s16c6_,spalin-divide-beta5,1.636743870081013
s16c6_,spalin-divide-beta7,1.493294269141237
s16c6_,spalin-divide-beta10,1.259785102456368
s16c6_,spalin_spatialonly,3.183095605210634
s16c6_,spalin-divide-beta5_spatialonly,1.426537049413441
s16c1_,spalin,2.12286550873147
s16c1_,spalin-divide-beta1,1.422362170021305
