experiment,cell_name,method,trueBrlen,estBrlen,character
s20c6,b'216_10',spalin-spatialonly,59.0,10.024817588457674,k10_r2_
s20c6,b'46_2',spalin-spatialonly,45.0,1.0000000000000142,k10_r2_
s20c6,b'176_10',spalin-spatialonly,130.0,14.027058367753312,k10_r2_
s20c6,b'216_13',spalin-spatialonly,40.0,86.44376557802897,k10_r2_
s20c6,b'216_12',spalin-spatialonly,40.0,86.44376557802897,k10_r2_
s20c6,b'89_4',spalin-spatialonly,43.0,1.0000000000000044,k10_r2_
s20c6,b'216_16',spalin-spatialonly,127.0,99.47082394578227,k10_r2_
s20c6,b'216_19',spalin-spatialonly,127.0,99.47082394578227,k10_r2_
s20c6,b'1_1',spalin-divide-beta5-spatialonly,0.0,1.0000000000093148,k10_r2_
s20c6,b'47_1',spalin-divide-beta5-spatialonly,46.0,1.0000000000008615,k10_r2_
s20c6,b'156_1',spalin-divide-beta5-spatialonly,109.0,163.6433473974332,k10_r2_
s20c6,b'210_3',spalin-divide-beta5-spatialonly,54.0,42.438229593190506,k10_r2_
s20c6,b'216_4',spalin-divide-beta5-spatialonly,6.0,6.9284230093661305,k10_r2_
s20c6,b'216_3',spalin-divide-beta5-spatialonly,6.0,6.9284230093661305,k10_r2_
s20c6,b'201_1',spalin-divide-beta5-spatialonly,45.0,48.36665260255675,k10_r2_
s20c6,b'216_2',spalin-divide-beta5-spatialonly,15.0,1.0,k10_r2_
s20c6,b'216_1',spalin-divide-beta5-spatialonly,15.0,1.0,k10_r2_
s20c6,b'104_3',spalin-divide-beta5-spatialonly,57.0,208.07840893805184,k10_r2_
s20c6,b'166_5',spalin-divide-beta5-spatialonly,62.0,2.2470893247829404,k10_r2_
s20c6,b'216_9',spalin-divide-beta5-spatialonly,50.0,2.684501737155044,k10_r2_
s20c6,b'216_8',spalin-divide-beta5-spatialonly,50.0,2.684501737155044,k10_r2_
s20c6,b'157_6',spalin-divide-beta5-spatialonly,53.0,1.0000000000001568,k10_r2_
s20c6,b'216_11',spalin-divide-beta5-spatialonly,59.0,3.931591061937828,k10_r2_
s20c6,b'216_10',spalin-divide-beta5-spatialonly,59.0,3.931591061937828,k10_r2_
s20c6,b'46_2',spalin-divide-beta5-spatialonly,45.0,1.0000000000004505,k10_r2_
s20c6,b'176_10',spalin-divide-beta5-spatialonly,130.0,1.0,k10_r2_
s20c6,b'216_13',spalin-divide-beta5-spatialonly,40.0,212.00999999999388,k10_r2_
s20c6,b'216_12',spalin-divide-beta5-spatialonly,40.0,212.00999999999388,k10_r2_
s20c6,b'89_4',spalin-divide-beta5-spatialonly,43.0,1.00000000000138,k10_r2_
s20c6,b'216_16',spalin-divide-beta5-spatialonly,127.0,212.00999999998885,k10_r2_
s20c6,b'216_19',spalin-divide-beta5-spatialonly,127.0,212.00999999998885,k10_r2_
s20c6,b'1_1',spalin,0.0,1.0,k10_r2_
s20c6,b'47_1',spalin,46.0,1.0,k10_r2_
s20c6,b'156_1',spalin,109.0,173.13332789497758,k10_r2_
s20c6,b'210_3',spalin,54.0,27.77743507867626,k10_r2_
s20c6,b'216_4',spalin,6.0,12.099237017960384,k10_r2_
s20c6,b'216_3',spalin,6.0,12.099237017960384,k10_r2_
s20c6,b'201_1',spalin,45.0,33.80385747478705,k10_r2_
s20c6,b'216_2',spalin,15.0,6.072814621849593,k10_r2_
s20c6,b'216_1',spalin,15.0,6.072814621849593,k10_r2_
s20c6,b'104_3',spalin,57.0,132.81621068760288,k10_r2_
s20c6,b'166_5',spalin,62.0,60.36603957724519,k10_r2_
s20c6,b'216_9',spalin,50.0,19.827749726766132,k10_r2_
s20c6,b'216_8',spalin,50.0,19.827749726766132,k10_r2_
s20c6,b'157_6',spalin,53.0,60.79352330697776,k10_r2_
s20c6,b'216_11',spalin,59.0,19.400265997033554,k10_r2_
s20c6,b'216_10',spalin,59.0,19.400265997033554,k10_r2_
s20c6,b'46_2',spalin,45.0,20.357485990824916,k10_r2_
s20c6,b'176_10',spalin,130.0,130.54124154131176,k10_r2_
s20c6,b'216_13',spalin,40.0,63.11127245711544,k10_r2_
s20c6,b'216_12',spalin,40.0,63.11127245711544,k10_r2_
s20c6,b'89_4',spalin,43.0,89.66411112786312,k10_r2_
s20c6,b'216_16',spalin,127.0,103.9884028705641,k10_r2_
s20c6,b'216_19',spalin,127.0,103.9884028705641,k10_r2_
s20c6,b'1_1',spalin-divide-beta1,0.0,1.0000000271052736,k10_r2_
s20c6,b'47_1',spalin-divide-beta1,46.0,1.0000000130719193,k10_r2_
s20c6,b'156_1',spalin-divide-beta1,109.0,174.1317448847541,k10_r2_
s20c6,b'210_3',spalin-divide-beta1,54.0,27.892383008944005,k10_r2_
s20c6,b'216_4',spalin-divide-beta1,6.0,10.985872111998809,k10_r2_
s20c6,b'216_3',spalin-divide-beta1,6.0,10.985872111998809,k10_r2_
s20c6,b'201_1',spalin-divide-beta1,45.0,33.83986678640186,k10_r2_
s20c6,b'216_2',spalin-divide-beta1,15.0,5.038388334540952,k10_r2_
s20c6,b'216_1',spalin-divide-beta1,15.0,5.038388334540952,k10_r2_
s20c6,b'104_3',spalin-divide-beta1,57.0,134.54268689208487,k10_r2_
s20c6,b'166_5',spalin-divide-beta1,62.0,60.232052715927395,k10_r2_
s20c6,b'216_9',spalin-divide-beta1,50.0,18.235260397684637,k10_r2_
s20c6,b'216_8',spalin-divide-beta1,50.0,18.235260397684637,k10_r2_
s20c6,b'157_6',spalin-divide-beta1,53.0,60.47408210850661,k10_r2_
s20c6,b'216_11',spalin-divide-beta1,59.0,17.993231005105418,k10_r2_
s20c6,b'216_10',spalin-divide-beta1,59.0,17.993231005105418,k10_r2_
s20c6,b'46_2',spalin-divide-beta1,45.0,20.07685293820699,k10_r2_
s20c6,b'176_10',spalin-divide-beta1,130.0,129.31015685838037,k10_r2_
s20c6,b'216_13',spalin-divide-beta1,40.0,64.62299022218153,k10_r2_
s20c6,b'216_12',spalin-divide-beta1,40.0,64.62299022218153,k10_r2_
s20c6,b'89_4',spalin-divide-beta1,43.0,88.75693006107005,k10_r2_
s20c6,b'216_16',spalin-divide-beta1,127.0,105.17621701949182,k10_r2_
s20c6,b'216_19',spalin-divide-beta1,127.0,105.17621701949182,k10_r2_
s20c6,b'1_1',spalin-divide-beta3,0.0,1.0000000279877692,k10_r2_
s20c6,b'47_1',spalin-divide-beta3,46.0,1.000000008415573,k10_r2_
s20c6,b'156_1',spalin-divide-beta3,109.0,176.5398269967742,k10_r2_
s20c6,b'210_3',spalin-divide-beta3,54.0,28.154564138026185,k10_r2_
s20c6,b'216_4',spalin-divide-beta3,6.0,8.315608861211087,k10_r2_
s20c6,b'216_3',spalin-divide-beta3,6.0,8.315608861211087,k10_r2_
s20c6,b'201_1',spalin-divide-beta3,45.0,33.74156380844454,k10_r2_
s20c6,b'216_2',spalin-divide-beta3,15.0,2.728609190792725,k10_r2_
s20c6,b'216_1',spalin-divide-beta3,15.0,2.728609190792725,k10_r2_
s20c6,b'104_3',spalin-divide-beta3,57.0,138.8402934461924,k10_r2_
s20c6,b'166_5',spalin-divide-beta3,62.0,59.900577094188286,k10_r2_
s20c6,b'216_9',spalin-divide-beta3,50.0,14.26912945563082,k10_r2_
s20c6,b'216_8',spalin-divide-beta3,50.0,14.26912945563082,k10_r2_
s20c6,b'157_6',spalin-divide-beta3,53.0,59.658823649957434,k10_r2_
s20c6,b'216_11',spalin-divide-beta3,59.0,14.510882899861656,k10_r2_
s20c6,b'216_10',spalin-divide-beta3,59.0,14.510882899861656,k10_r2_
s20c6,b'46_2',spalin-divide-beta3,45.0,19.446782256526333,k10_r2_
s20c6,b'176_10',spalin-divide-beta3,130.0,126.39490420737563,k10_r2_
s20c6,b'216_13',spalin-divide-beta3,40.0,68.1683135405251,k10_r2_
s20c6,b'216_12',spalin-divide-beta3,40.0,68.1683135405251,k10_r2_
s20c6,b'89_4',spalin-divide-beta3,43.0,86.65589162253899,k10_r2_
s20c6,b'216_16',spalin-divide-beta3,127.0,107.90732612536175,k10_r2_
s20c6,b'216_19',spalin-divide-beta3,127.0,107.90732612536175,k10_r2_
