experiment,character,method,est_sigma
s13c2,k10_,sigma05_spalin_spatialonly,1.28398645956284
s13c2,k10_,sigma15_spalin_spatialonly,1.1617887204057
s13c2,k10_,sigma3_spalin_spatialonly,4.382618195877638
s13c2,k50_,sigma05_spalin,0.607233620371257
s13c2,k50_,sigma15_spalin,1.580001230077902
s13c2,k50_,sigma3_spalin,3.7074549059568
s13c2,k200_,sigma05_spalin,0.53803554161083
s13c2,k200_,sigma15_spalin,1.41747061504366
s13c2,k200_,sigma3_spalin,3.31192538485062
s9c2,k10_,sigma05_spalin,0.486993969257532
s9c2,k10_,sigma15_spalin,1.591814641451716
s9c2,k10_,sigma3_spalin,2.67349988600309
s9c2,k10_,sigma05_spalin_spatialonly,0.346943452577392
s9c2,k10_,sigma15_spalin_spatialonly,1.547050739070974
s9c2,k10_,sigma3_spalin_spatialonly,2.46044923141718
s9c2,k50_,sigma05_spalin,0.4648482585329855
s9c2,k50_,sigma15_spalin,1.40033304909506
s9c2,k50_,sigma3_spalin,2.63578696970034
s9c2,k200_,sigma05_spalin,0.4705878143451812
s9c2,k200_,sigma15_spalin,1.475085223970581
s9c2,k200_,sigma3_spalin,2.88677241972213
s9c5,k10_,sigma05_spalin,0.4388295780282779
s9c5,k10_,sigma15_spalin,1.528280919987636
s9c5,k10_,sigma3_spalin,2.31080224044971
s9c5,k10_,sigma05_spalin_spatialonly,0.521020852612946
s9c5,k10_,sigma15_spalin_spatialonly,1.775285510827437
s9c5,k10_,sigma3_spalin_spatialonly,1.98175588309928
s9c5,k50_,sigma05_spalin,0.444797667182178
s9c5,k50_,sigma15_spalin,1.578534140601366
s9c5,k50_,sigma3_spalin,2.49669405565749
s9c5,k200_,sigma05_spalin,0.435638131445771
s9c5,k200_,sigma15_spalin,1.484507974800553
s9c5,k200_,sigma3_spalin,2.55179548164655
s15c7,k10_,sigma05_spalin,0.449887024586609
s15c7,k10_,sigma15_spalin,1.266098804197522
s15c7,k10_,sigma3_spalin,3.591558075572486
s15c7,k10_,sigma05_spalin_spatialonly,0.4012019107093008
s15c7,k10_,sigma15_spalin_spatialonly,0.986440474830344
s15c7,k10_,sigma3_spalin_spatialonly,3.38897726637521
s15c7,k50_,sigma05_spalin,0.515562987834309
s15c7,k50_,sigma15_spalin,1.383681756720405
s15c7,k50_,sigma3_spalin,3.68764089760628
s15c7,k200_,sigma05_spalin,0.487058637214263
s15c7,k200_,sigma15_spalin,1.33750072971915
s15c7,k200_,sigma3_spalin,3.588040047411942
s3c5,k10_,sigma05_spalin,0.590789549678
s3c5,k10_,sigma15_spalin,1.7327067412657
s3c5,k10_,sigma3_spalin,2.366015119270456
s3c5,k10_,sigma05_spalin_spatialonly,0.80141189791664
s3c5,k10_,sigma15_spalin_spatialonly,2.798836793246486
s3c5,k10_,sigma3_spalin_spatialonly,3.005897681994171
s3c5,k50_,sigma05_spalin,0.594427683315872
s3c5,k50_,sigma15_spalin,1.80075196030114
s3c5,k50_,sigma3_spalin,2.486776646523391
