sample,cellID,true_x,true_y,method,est_x,est_y,error
s5c2/k10_r3,146_2,378.0,390.0,spalin,379.8014337984297,420.233056004542,30.28667758444127
s5c2/k10_r3,146_2,378.0,390.0,problin,370.8581889952558,418.1250654009874,29.017663038868324
s5c2/k10_r3,193_2,325.0,407.0,spalin,324.70910272527925,410.0901780161906,3.1038397826220816
s5c2/k10_r3,193_2,325.0,407.0,problin,328.11726682991605,410.671691714983,4.816500029977135
s5c2/k10_r3,194_1,294.0,409.0,spalin,309.2977997694461,407.74614882291314,15.349098363107432
s5c2/k10_r3,194_1,294.0,409.0,problin,318.9623869848981,409.32956921863683,24.964562480718204
s5c2/k10_r3,150_1,322.0,405.0,spalin,325.7377444177902,410.5337918766878,6.677842905251518
s5c2/k10_r3,150_1,322.0,405.0,problin,337.89803530171616,412.4878864989423,17.57316052039746
s5c2/k10_r3,93_1,332.0,390.0,spalin,345.33839945540876,414.05023576845167,27.501395247335378
s5c2/k10_r3,93_1,332.0,390.0,problin,338.4861261801631,412.5884677499672,23.501249075662045
s5c2/k10_r3,187_7,313.0,428.0,spalin,325.84217712223267,423.4954263453818,13.609287161665609
s5c2/k10_r3,187_7,313.0,428.0,problin,327.0538309402369,422.81430135644973,14.980041205500019
s5c2/k10_r3,150_5,341.0,415.0,spalin,343.0058819270054,422.89158822608454,8.142525838777734
s5c2/k10_r3,150_5,341.0,415.0,problin,340.3295374337796,421.80226854973535,6.83523060879598
s5c2/k10_r3,193_7,364.0,433.0,spalin,366.87212191216406,436.8630635860197,4.813766150112005
s5c2/k10_r3,193_7,364.0,433.0,problin,370.33526592060366,438.90564695705103,8.660961855711424
s5c2/k10_r3,93_2,348.0,418.0,spalin,343.37404972249686,423.02194629798817,6.827837182432544
s5c2/k10_r3,93_2,348.0,418.0,problin,340.6369813796266,421.8956662227289,8.330081543591044
s5c2/k10_r3,45_1,346.0,396.0,spalin,345.338399455408,414.05023576845065,18.062356617486532
s5c2/k10_r3,45_1,346.0,396.0,problin,338.48612618016296,412.58846774996744,18.210863847498896
s5c2/k10_r4,189_3,370.0,410.0,spalin,374.7957172232224,409.5274773324918,4.818939858145283
s5c2/k10_r4,189_3,370.0,410.0,problin,372.60493382455786,409.99230051664995,2.6049452033333647
s5c2/k10_r4,146_2,378.0,390.0,spalin,358.26783234367304,416.7667111704086,33.25380079475837
s5c2/k10_r4,146_2,378.0,390.0,problin,353.3573555338253,415.61792926588356,35.54628287399549
s5c2/k10_r4,193_2,325.0,407.0,spalin,324.8085490077328,410.06316692121106,3.0691440288200504
s5c2/k10_r4,193_2,325.0,407.0,problin,324.6235522091659,410.02412870495834,3.047469009420261
s5c2/k10_r4,194_1,294.0,409.0,spalin,299.992200117944,406.1790461992417,6.623008576130671
s5c2/k10_r4,194_1,294.0,409.0,problin,299.23849852505015,406.04215949939146,6.01586961494286
s5c2/k10_r4,150_1,322.0,405.0,spalin,349.2878117284453,415.0746225437704,29.088188123816238
s5c2/k10_r4,150_1,322.0,405.0,problin,351.9091522643105,415.3527763877854,31.65023488230689
s5c2/k10_r4,93_1,332.0,390.0,spalin,349.9239447987362,415.19448791818195,30.919735099246232
s5c2/k10_r4,93_1,332.0,390.0,problin,352.6332538215204,415.4853528126363,32.790766554745765
s5c2/k10_r4,187_7,313.0,428.0,spalin,325.91822338926715,420.5673261247283,14.90386313917151
s5c2/k10_r4,187_7,313.0,428.0,problin,329.40846629047917,419.75261777940466,18.364560422138705
s5c2/k10_r4,150_5,341.0,415.0,spalin,331.0386911638594,419.34825110525696,10.868990818072334
s5c2/k10_r4,150_5,341.0,415.0,problin,330.32214190137415,419.5359197393732,11.60134567437868
s5c2/k10_r4,193_7,364.0,433.0,spalin,369.11012525816943,437.92527364752755,7.0973023506970945
s5c2/k10_r4,193_7,364.0,433.0,problin,370.410579568686,438.9234633168444,8.728284371653768
s5c2/k10_r4,93_2,348.0,418.0,spalin,348.69485014271334,422.1390783169651,4.196997264092419
s5c2/k10_r4,93_2,348.0,418.0,problin,349.60732970729464,421.1175578895321,3.507517068032007
s5c2/k10_r4,45_1,346.0,396.0,spalin,349.92394479874383,415.19448791819116,19.591470318104637
s5c2/k10_r4,45_1,346.0,396.0,problin,352.63325382152345,415.48535281263935,20.583464977835675
s5c2/k10_r5,189_3,370.0,410.0,spalin,377.36123421439004,410.6947893276289,7.393950322317124
s5c2/k10_r5,189_3,370.0,410.0,problin,376.0485608484855,409.0897416018571,6.116670555884269
s5c2/k10_r5,146_2,378.0,390.0,spalin,386.2101571913596,421.71204121847893,32.75759819262304
s5c2/k10_r5,146_2,378.0,390.0,problin,382.8730382505581,421.70153799747186,32.07388366251513
s5c2/k10_r5,193_2,325.0,407.0,spalin,324.153311053695,409.9544016685916,3.073332294297466
s5c2/k10_r5,193_2,325.0,407.0,problin,324.478382475735,409.9988942209956,3.0439203981611147
s5c2/k10_r5,194_1,294.0,409.0,spalin,300.50258141136726,406.2492433292719,7.060469338012462
s5c2/k10_r5,194_1,294.0,409.0,problin,299.14934336490717,406.02571160703735,5.946606472117169
s5c2/k10_r5,150_1,322.0,405.0,spalin,317.80868050469996,409.1199228958516,5.877152693221792
s5c2/k10_r5,150_1,322.0,405.0,problin,321.27560691197544,409.8350659353365,4.889029345895685
s5c2/k10_r5,93_1,332.0,390.0,spalin,350.4820178122431,415.1348007800875,31.198448561855752
s5c2/k10_r5,93_1,332.0,390.0,problin,351.5875340741516,415.6745243186296,32.29322978727823
s5c2/k10_r5,187_7,313.0,428.0,spalin,318.1545583227494,422.6375904762605,7.438071484122528
s5c2/k10_r5,187_7,313.0,428.0,problin,318.1253820689062,422.56647378218724,7.469454365074063
s5c2/k10_r5,150_5,341.0,415.0,spalin,335.32860490437884,419.12149166261344,7.0108070759098675
s5c2/k10_r5,150_5,341.0,415.0,problin,335.09501518030334,418.8947739890532,7.073762092879104
s5c2/k10_r5,193_7,364.0,433.0,spalin,367.6883416034452,436.9250852949998,5.386107904296811
s5c2/k10_r5,193_7,364.0,433.0,problin,367.6556012649432,436.7465024854323,5.234472416739307
s5c2/k10_r5,93_2,348.0,418.0,spalin,350.11173769921214,423.95410918013954,6.317503639832409
s5c2/k10_r5,93_2,348.0,418.0,problin,350.7056427038491,423.31776304089533,5.966498654990561
s5c2/k10_r5,45_1,346.0,396.0,spalin,350.48201781224174,415.1348007800858,19.652711888256665
s5c2/k10_r5,45_1,346.0,396.0,problin,351.58753407415463,415.67452431863353,20.452565711771747
s15c4/k10_r1,200_4,106.0,82.0,spalin,106.71242583169723,77.55231774401885,4.504378760255299
s15c4/k10_r1,200_4,106.0,82.0,problin,107.7302023097223,78.99334339115168,3.468945660586174
s15c4/k10_r1,206_4,138.0,95.0,spalin,126.98097895933293,96.55215507570715,11.12780347030388
s15c4/k10_r1,206_4,138.0,95.0,problin,128.9232600879924,97.94359271173414,9.54211430883147
s15c4/k10_r1,157_2,127.0,88.0,spalin,114.64017375542558,87.70253349362574,12.363405320480485
s15c4/k10_r1,157_2,127.0,88.0,problin,113.2847695788226,86.44859852795689,13.802695100358024
s15c4/k10_r1,204_1,94.0,97.0,spalin,90.12422695646043,93.84363479787655,4.998425549530951
s15c4/k10_r1,204_1,94.0,97.0,problin,90.52503416530686,93.67456298118881,4.809773270993593
s15c4/k10_r1,90_1,112.0,77.0,spalin,104.77109724854205,90.17467944438566,15.027615028751383
s15c4/k10_r1,90_1,112.0,77.0,problin,103.76836692908014,89.46995119398557,14.9418695548664
s15c4/k10_r1,191_7,115.0,104.0,spalin,119.12509653748685,112.12467188155503,9.111899616793252
s15c4/k10_r1,191_7,115.0,104.0,problin,118.99315290586665,112.00341168110825,8.944264568254408
s15c4/k10_r1,193_9,139.0,114.0,spalin,143.77635922091946,128.70354480120912,15.459878302510212
s15c4/k10_r1,193_9,139.0,114.0,problin,144.88592015588546,129.43123579174522,16.515662086089602
s15c4/k10_r1,142_4,119.0,105.0,spalin,120.66861806245679,113.66295372855544,8.822190971717264
s15c4/k10_r1,142_4,119.0,105.0,problin,117.33983136106332,112.82720726071562,8.001333227150852
s15c4/k10_r1,194_6,74.0,101.0,spalin,74.06001601958427,103.98798806400544,2.988590736993891
s15c4/k10_r1,194_6,74.0,101.0,problin,76.35540543667318,103.96663243932608,3.7879866421585175
s15c4/k10_r1,195_5,80.0,114.0,spalin,80.06291358665271,109.5713693817157,4.429077474214095
s15c4/k10_r1,195_5,80.0,114.0,problin,79.7221334496657,110.08025128464593,3.9295851958336008
s15c4/k10_r1,150_3,85.0,112.0,spalin,90.14163290727475,103.95324511505308,9.54917028498224
s15c4/k10_r1,150_3,85.0,112.0,problin,94.68083953900918,103.88879113129619,12.629741228219324
s15c4/k10_r1,91_3,116.0,96.0,spalin,101.47681110997581,101.67206576275314,15.591515178208892
s15c4/k10_r1,91_3,116.0,96.0,problin,99.45023170286572,103.15913359991097,18.031861373419137
s15c4/k10_r1,33_1,131.0,65.0,spalin,104.77109724854185,90.17467944438548,36.3554648529353
s15c4/k10_r1,33_1,131.0,65.0,problin,103.7683669290802,89.46995119398562,36.61065898266857
s15c4,200_4,106.0,82.0,unit,107.28205128205136,80.20512820512829,2.205724427446801
s15c4,200_4,106.0,82.0,random brlen,105.2895839793475,82.18035955262583,0.7329532663295296
s15c4,200_4,106.0,82.0,given true brlen,106.7615123498145,77.817321005851,4.2514355960093395
s15c4,200_4,106.0,82.0,gaussian (no topology info),116.81554949179936,117.16381085390208,36.78953254090847
s15c4,206_4,138.0,95.0,unit,122.94871794871801,94.87179487179492,15.051828059811918
s15c4,206_4,138.0,95.0,random brlen,117.99885161163965,90.74675999848316,20.448373709508363
s15c4,206_4,138.0,95.0,given true brlen,127.5687167805618,97.03568716780555,10.628061528298618
s15c4,206_4,138.0,95.0,gaussian (no topology info),131.46141578579892,83.34955520538514,13.359863301642273
s15c4,157_2,127.0,88.0,unit,110.8461538461539,88.61538461538467,16.165563515911863
s15c4,157_2,127.0,88.0,random brlen,116.9751003925492,90.38509326986393,10.304721347295983
s15c4,157_2,127.0,88.0,given true brlen,113.54214123006821,87.58542141230063,13.464242944807879
s15c4,157_2,127.0,88.0,gaussian (no topology info),40.670093726019246,90.37264016551339,86.36250424014642
s15c4,204_1,94.0,97.0,unit,93.76923076923055,92.92307692307674,4.083449058457738
s15c4,204_1,94.0,97.0,random brlen,91.09893331785783,90.99252488437591,6.671277625693452
s15c4,204_1,94.0,97.0,given true brlen,90.27140560096495,93.7941846442451,4.917282612145594
s15c4,204_1,94.0,97.0,gaussian (no topology info),86.67414658063689,118.74980192430198,22.950425095591672
s15c4,90_1,112.0,77.0,unit,102.30769230769215,90.76923076923063,16.8384246406455
s15c4,90_1,112.0,77.0,random brlen,105.46233544985142,90.6553503514647,15.13967142944379
s15c4,90_1,112.0,77.0,given true brlen,104.92811201929473,89.88369288489878,14.696977307053144
s15c4,90_1,112.0,77.0,gaussian (no topology info),121.82694314682283,78.59068752457617,9.95485300804238
s15c4,191_7,115.0,104.0,unit,119.10622710622707,112.41318681318675,9.36177405204235
s15c4,191_7,115.0,104.0,random brlen,118.38477655662084,110.65735111337295,7.468402518944605
s15c4,191_7,115.0,104.0,given true brlen,119.47403837439424,112.4829985780417,9.590530968127354
s15c4,191_7,115.0,104.0,gaussian (no topology info),84.3421335193149,103.74640530937623,30.65891530068583
s15c4,193_9,139.0,114.0,unit,136.43956043956035,124.07985347985337,10.399966197924705
s15c4,193_9,139.0,114.0,random brlen,139.77806948320423,122.95780105699227,8.991528896541759
s15c4,193_9,139.0,114.0,given true brlen,140.64513745957146,126.7172489527295,12.823217154309791
s15c4,193_9,139.0,114.0,gaussian (no topology info),123.0999846954972,120.44099218724114,17.1550828339453
s15c4,142_4,119.0,105.0,unit,119.31868131868126,113.23956043956039,8.245720952108742
s15c4,142_4,119.0,105.0,random brlen,119.93703005861101,107.59083399806075,2.7550764302008006
s15c4,142_4,119.0,105.0,given true brlen,121.33226880201937,114.37635300396528,9.662063621185776
s15c4,142_4,119.0,105.0,gaussian (no topology info),120.27528138669506,100.33120632647893,4.8398323298603225
s15c4,194_6,74.0,101.0,unit,74.20146520146506,104.55604395604378,3.561746319534401
s15c4,194_6,74.0,101.0,random brlen,78.34978543268994,103.33380801549836,4.936323851171641
s15c4,194_6,74.0,101.0,given true brlen,71.371432044784,104.47500195469385,4.3571789130485
s15c4,194_6,74.0,101.0,gaussian (no topology info),87.61606476091687,73.99773471012173,30.241024294134725
s15c4,195_5,80.0,114.0,unit,80.20146520146503,109.22271062271044,4.781535529698074
s15c4,195_5,80.0,114.0,random brlen,86.04739932250149,108.92730637174176,7.893241362834611
s15c4,195_5,80.0,114.0,given true brlen,78.5135167991198,110.12500184903458,4.15033046593696
s15c4,195_5,80.0,114.0,gaussian (no topology info),113.21860758329342,129.54735930620427,36.67691741639496
s15c4,150_3,85.0,112.0,unit,85.60439560439542,105.66813186813164,6.360648401380368
s15c4,150_3,85.0,112.0,random brlen,89.65600319875097,101.40411808760823,11.573723656979649
s15c4,150_3,85.0,112.0,given true brlen,82.85716022392083,106.37500977346988,6.019325323863661
s15c4,150_3,85.0,112.0,gaussian (no topology info),118.70181467066222,101.49375021270657,35.30146734469639
s15c4,91_3,116.0,96.0,unit,102.41025641025641,103.22564102564101,15.391264375170856
s15c4,91_3,116.0,96.0,random brlen,104.97623972502575,93.913844608342,11.21941776199835
s15c4,91_3,116.0,96.0,given true brlen,103.9534767119948,104.00609125361038,14.464308503678575
s15c4,91_3,116.0,96.0,gaussian (no topology info),75.0754583732701,112.87113300295343,44.26571174353004
s15c4,33_1,131.0,65.0,unit,102.30769230769224,90.76923076923066,38.56555166399059
s15c4,33_1,131.0,65.0,random brlen,105.46233544985172,90.65535035146496,36.199023637831914
s15c4,33_1,131.0,65.0,given true brlen,104.92811201929433,89.88369288489838,36.04083121222937
s15c4,33_1,131.0,65.0,gaussian (no topology info),113.98696062535132,66.11948482413896,17.049831525115547
s15c4/k10_r2,200_4,106.0,82.0,spalin,106.51563043000746,77.26584138702538,4.762156288190414
s15c4/k10_r2,200_4,106.0,82.0,problin,107.31139694039355,78.31673116281584,3.9097610236746574
s15c4/k10_r2,206_4,138.0,95.0,spalin,127.27152522028081,96.73746200887413,10.868254014852235
