sample frame parent_x parent_y child_id child_x child_y
s10c2 163 177.0 298.0 2 190.0 294.0
s10c2 175 239.0 267.0 5 230.0 271.0
s10c2 175 239.0 267.0 6 238.0 263.0
s10c2 175 166.0 228.0 7 177.0 233.0
s10c2 175 166.0 228.0 8 161.0 227.0
s10c2 176 142.0 243.0 11 145.0 252.0
s10c2 176 142.0 243.0 12 144.0 232.0
s10c2 176 189.0 207.0 13 182.0 209.0
s10c2 176 189.0 207.0 14 196.0 208.0
s10c2 187 203.0 226.0 10 199.0 235.0
s10c2 187 203.0 226.0 11 206.0 219.0
s10c2 189 250.0 238.0 9 243.0 240.0
s10c2 189 250.0 238.0 10 250.0 234.0
s10c2 202 192.0 251.0 4 189.0 254.0
s10c2 202 192.0 251.0 5 201.0 247.0
s10c2 206 184.0 285.0 2 186.0 292.0
s10c2 206 184.0 285.0 3 181.0 278.0
s10c2 211 162.0 303.0 1 167.0 311.0
s10c2 211 162.0 303.0 2 161.0 297.0
s10c2 211 201.0 294.0 5 198.0 300.0
s10c2 211 201.0 294.0 6 201.0 288.0
s10c3 35 272.0 294.0 1 274.0 296.0
s10c3 35 272.0 294.0 2 265.0 287.0
s10c3 37 285.0 288.0 3 291.0 290.0
s10c3 37 285.0 288.0 4 280.0 285.0
s10c3 78 268.0 283.0 2 264.0 289.0
s10c3 78 268.0 283.0 3 270.0 278.0
s10c3 84 275.0 288.0 5 271.0 293.0
s10c3 84 275.0 288.0 6 284.0 284.0
s10c3 86 276.0 309.0 1 273.0 315.0
s10c3 86 276.0 309.0 2 282.0 302.0
s10c3 92 298.0 292.0 5 299.0 301.0
s10c3 92 298.0 292.0 6 300.0 283.0
s10c3 137 256.0 293.0 3 251.0 301.0
s10c3 137 256.0 293.0 4 261.0 286.0
s10c3 137 273.0 261.0 5 268.0 267.0
s10c3 137 273.0 261.0 6 275.0 262.0
s10c3 141 294.0 318.0 7 291.0 323.0
s10c3 141 294.0 318.0 8 298.0 312.0
s10c3 141 304.0 290.0 9 309.0 299.0
s10c3 141 304.0 290.0 10 299.0 283.0
s10c3 153 260.0 318.0 1 264.0 323.0
s10c3 153 260.0 318.0 2 254.0 311.0
s10c3 158 279.0 301.0 3 268.0 307.0
s10c3 158 279.0 301.0 4 286.0 301.0
s10c3 174 234.0 280.0 13 232.0 285.0
s10c3 174 234.0 280.0 14 241.0 277.0
s10c3 183 288.0 335.0 9 293.0 339.0
s10c3 183 288.0 335.0 10 281.0 335.0
s10c3 186 257.0 260.0 7 249.0 266.0
s10c3 186 257.0 260.0 8 261.0 259.0
s10c3 187 304.0 302.0 12 309.0 305.0
s10c3 187 304.0 302.0 13 301.0 295.0
s10c3 188 280.0 258.0 9 282.0 263.0
s10c3 188 280.0 258.0 10 276.0 253.0
s10c3 190 243.0 297.0 5 244.0 301.0
s10c3 190 243.0 297.0 6 242.0 292.0
s10c3 191 261.0 286.0 7 266.0 286.0
s10c3 191 261.0 286.0 8 256.0 283.0
s10c3 193 293.0 281.0 18 294.0 288.0
s10c3 193 293.0 281.0 19 297.0 275.0
s10c3 197 232.0 304.0 2 231.0 305.0
s10c3 197 232.0 304.0 3 242.0 308.0
s10c3 198 260.0 330.0 1 258.0 335.0
s10c3 198 260.0 330.0 2 263.0 322.0
s10c3 209 258.0 306.0 5 255.0 313.0
s10c3 209 258.0 306.0 6 262.0 300.0
s10c3 210 312.0 310.0 20 307.0 314.0
s10c3 210 312.0 310.0 21 316.0 308.0
s10c3 212 282.0 301.0 7 289.0 304.0
s10c3 212 282.0 301.0 8 278.0 296.0
s10c4 58 329.0 267.0 1 323.0 268.0
s10c4 58 329.0 267.0 2 333.0 266.0
s10c4 125 338.0 242.0 2 331.0 254.0
s10c4 125 338.0 242.0 3 343.0 240.0
s10c4 127 316.0 273.0 1 311.0 281.0
s10c4 127 316.0 273.0 2 329.0 272.0
s10c4 172 339.0 274.0 2 340.0 274.0
s10c4 172 339.0 274.0 3 328.0 274.0
s10c4 174 328.0 259.0 4 319.0 264.0
s10c4 174 328.0 259.0 5 336.0 254.0
s10c4 177 312.0 278.0 1 317.0 286.0
s10c4 177 312.0 278.0 2 309.0 269.0
s10c4 177 357.0 248.0 7 364.0 252.0
